id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
26,0,6731,0,0,0,0,0,0,6731,6276,0,0,0,0,0,0,6276,13007
26,1,6979,0,0,0,0,0,0,6979,6661,0,0,0,0,0,0,6661,13640
26,2,7290,0,0,0,0,0,0,7290,6921,0,0,0,0,0,0,6921,14211
26,3,7481,0,0,0,0,0,0,7481,7104,0,0,0,0,0,0,7104,14585
26,4,7690,0,0,0,0,0,0,7690,7308,0,0,0,0,0,0,7308,14998
26,5,7870,0,0,0,0,0,0,7870,7623,0,0,0,0,0,0,7623,15493
26,6,8392,0,0,0,0,0,0,8392,7972,0,0,0,0,0,0,7972,16364
26,7,8787,0,0,0,0,0,0,8787,8296,0,0,0,0,0,0,8296,17083
26,8,9195,0,0,0,0,0,0,9195,8391,0,0,0,0,0,0,8391,17586
26,9,9233,0,0,0,0,0,0,9233,8990,0,0,0,0,0,0,8990,18223
26,10,9750,0,0,0,0,0,0,9750,9076,0,0,0,0,0,0,9076,18826
26,11,9954,0,0,0,0,0,0,9954,9436,0,0,0,0,0,0,9436,19390
26,12,10247,0,0,0,0,0,0,10247,9399,0,0,0,0,0,0,9399,19646
26,13,10391,0,0,0,0,0,0,10391,9814,0,0,0,0,0,0,9814,20205
26,14,10742,0,0,0,0,0,0,10742,9946,0,0,0,0,0,0,9946,20688
26,15,10822,0,0,0,0,0,0,10822,10103,0,0,0,0,0,0,10103,20925
26,16,10662,0,0,0,0,0,0,10662,9982,0,1,0,0,0,0,9983,20645
26,17,10725,0,0,0,0,0,0,10725,9732,0,0,0,0,0,0,9732,20457
26,18,10670,0,0,0,0,0,0,10670,9923,2,0,0,0,0,0,9925,20595
26,19,10887,3,0,0,0,0,0,10890,9799,21,0,0,0,0,0,9820,20710
26,20,10898,5,0,0,0,0,0,10903,9887,58,1,0,1,0,0,9947,20850
26,21,10630,9,1,0,1,0,0,10641,9781,100,2,0,1,0,0,9884,20525
26,22,10621,39,1,0,2,0,0,10663,9744,177,9,0,0,0,0,9930,20593
26,23,11402,64,3,1,1,0,0,11471,9878,292,5,1,2,0,0,10178,21649
26,24,11294,115,9,0,1,0,0,11419,9476,441,6,2,2,1,0,9928,21347
26,25,11542,208,6,0,7,0,0,11763,9596,592,11,0,4,0,0,10203,21966
26,26,11277,288,7,0,4,0,0,11576,9581,831,21,1,4,1,0,10439,22015
