id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
6,0,12987,0,0,0,0,0,0,12987,12209,0,0,0,0,0,0,12209,25196
6,1,13367,0,0,0,0,0,0,13367,12852,0,0,0,0,0,0,12852,26219
6,2,14029,0,0,0,0,0,0,14029,13345,0,0,0,0,0,0,13345,27374
6,3,14420,0,0,0,0,0,0,14420,13582,0,0,0,0,0,0,13582,28002
6,4,14771,0,0,0,0,0,0,14771,14048,0,0,0,0,0,0,14048,28819
6,5,15184,0,0,0,0,0,0,15184,14785,0,0,0,0,0,0,14785,29969
6,6,16023,0,0,0,0,0,0,16023,15475,0,0,0,0,0,0,15475,31498
6,7,16908,0,0,0,0,0,0,16908,16026,0,0,0,0,0,0,16026,32934
6,8,17569,0,0,0,0,0,0,17569,16143,0,0,0,0,0,0,16143,33712
6,9,17802,0,0,0,0,0,0,17802,17147,0,0,0,0,0,0,17147,34949
6,10,18474,0,0,0,0,0,0,18474,17440,0,0,0,0,0,0,17440,35914
6,11,19132,0,0,0,0,0,0,19132,18066,0,0,0,0,0,0,18066,37198
6,12,19498,0,0,0,0,0,0,19498,17941,0,0,0,0,0,0,17941,37439
6,13,19784,0,0,0,0,0,0,19784,18544,0,0,0,0,0,0,18544,38328
6,14,20261,0,0,0,0,0,0,20261,19173,0,0,0,0,0,0,19173,39434
6,15,20468,0,0,0,0,0,0,20468,19182,0,0,0,0,0,0,19182,39650
6,16,20451,0,0,1,0,0,0,20452,19238,0,1,0,0,0,0,19239,39691
6,17,20347,0,0,0,0,0,0,20347,18906,1,0,0,0,0,0,18907,39254
6,18,20507,1,0,0,0,0,0,20508,18882,8,1,0,0,0,0,18891,39399
6,19,20915,8,0,0,0,0,0,20923,18749,59,1,0,0,0,0,18809,39732
6,20,20925,17,4,0,1,0,0,20947,18750,139,1,0,2,0,0,18892,39839
6,21,20472,31,2,0,2,0,0,20507,18647,248,4,0,2,0,0,18901,39408
6,22,20638,105,9,0,3,0,0,20755,18558,446,15,0,0,0,0,19019,39774
6,23,21902,149,10,1,3,0,0,22065,18911,698,17,2,3,1,0,19632,41697
6,24,21873,290,18,0,3,0,0,22184,18205,1025,23,5,7,1,0,19266,41450
6,25,22220,479,25,0,9,0,0,22733,18114,1403,25,2,5,0,0,19549,42282
6,26,21613,626,24,0,8,0,0,22271,17904,1934,54,2,10,1,0,19905,42176
6,27,21513,982,33,1,13,3,0,22545,17260,2524,80,5,16,2,0,19887,42432
6,28,20814,1460,47,1,15,0,0,22337,16555,3229,82,11,11,2,0,19890,42227
6,29,20171,2003,59,2,19,3,0,22257,15803,4376,138,16,33,0,0,20366,42623
6,30,19422,2815,88,0,27,2,0,22354,15235,5247,165,7,27,5,0,20686,43040
6,31,19243,3795,105,2,36,3,0,23184,14582,6563,215,15,31,6,0,21412,44596
6,32,18125,4696,146,8,27,0,0,23002,13815,7445,274,28,37,2,0,21601,44603
6,33,17565,5806,189,12,34,4,0,23610,12863,8435,416,32,47,6,0,21799,45409
6,34,16022,6578,237,24,50,4,0,22915,11978,9195,448,42,37,5,0,21705,44620
6,35,15532,7644,331,21,67,3,0,23598,11387,10302,513,55,45,3,0,22305,45903
6,36,13940,8203,334,13,53,3,0,22546,10131,10956,661,68,56,1,0,21873,44419
6,37,13510,8922,459,21,55,6,0,22973,9678,11535,790,95,37,2,0,22137,45110
6,38,13063,9702,508,19,48,5,0,23345,9426,12334,988,123,45,3,0,22919,46264
6,39,12403,10282,562,26,46,2,0,23321,9119,12717,1071,106,48,5,0,23066,46387
6,40,11887,11229,728,28,47,0,0,23919,8804,13508,1196,151,55,3,1,23718,47637
6,41,11757,12187,778,25,37,6,0,24790,8734,14362,1410,142,35,2,0,24685,49475
6,42,11205,12573,955,66,38,0,0,24837,8293,14668,1559,217,35,0,0,24772,49609
6,43,11096,13216,1028,53,47,2,0,25442,8148,15208,1790,260,37,1,0,25444,50886
6,44,10930,13871,1136,87,47,2,1,26074,7746,15989,1897,261,24,2,0,25919,51993
6,45,11308,14903,1344,99,49,2,1,27706,8099,17239,2203,323,35,2,0,27901,55607
6,46,11340,15909,1509,97,44,1,1,28901,8211,18474,2428,370,50,1,0,29534,58435
6,47,11467,16906,1772,106,43,1,0,30295,7930,19563,2874,447,30,4,0,30848,61143
6,48,11469,18299,2103,118,61,0,1,32051,8095,20758,3198,532,54,5,0,32642,64693
6,49,11555,19587,2352,128,71,4,0,33697,7880,21812,3473,572,42,5,0,33784,67481
6,50,11153,19898,2544,125,80,2,2,33804,7484,21880,3581,651,40,1,0,33637,67441
6,51,10405,20976,2677,207,49,2,1,34317,7205,22645,3946,723,32,0,0,34551,68868
6,52,10046,21275,2929,199,62,3,1,34515,6661,23622,4026,899,31,2,0,35241,69756
6,53,9293,21711,2905,240,58,1,0,34208,6276,23405,4145,1010,34,2,0,34872,69080
6,54,9042,22713,3167,264,66,2,0,35254,6087,24582,4390,1146,23,1,0,36229,71483
6,55,8418,22942,3307,310,68,4,0,35049,5550,24392,4491,1280,36,2,0,35751,70800
6,56,7895,23229,3362,335,58,0,1,34880,5312,24348,4554,1529,37,1,0,35781,70661
6,57,7558,23665,3505,422,58,1,2,35211,5014,24745,4499,1572,19,0,0,35849,71060
6,58,6896,23837,3570,431,71,1,2,34808,4731,24687,4517,1848,19,0,1,35803,70611
6,59,6470,24372,3636,478,63,0,1,35020,4522,25389,4548,1995,17,1,1,36473,71493
6,60,5572,23267,3308,536,54,2,2,32741,3918,23769,4108,2190,16,0,1,34002,66743
6,61,4998,22282,3092,583,49,0,2,31006,3540,22840,3917,2481,19,0,1,32798,63804
6,62,4602,22290,3046,582,47,0,2,30569,3236,22633,3764,2832,11,0,0,32476,63045
6,63,4094,21680,2895,663,35,0,3,29370,2881,21790,3527,3135,10,0,0,31343,60713
6,64,3829,21380,2701,754,44,0,2,28710,2656,21021,3293,3197,7,0,0,30174,58884
6,65,3490,20915,2456,803,31,0,1,27696,2404,20425,3074,3497,15,1,0,29416,57112
6,66,3282,20729,2411,864,31,0,0,27317,2301,20299,2856,3783,14,0,0,29253,56570
6,67,2907,20296,2154,979,31,0,1,26368,2054,19584,2748,4204,12,0,0,28602,54970
6,68,2734,19979,1976,1061,26,0,2,25778,1952,19021,2483,4593,6,0,0,28055,53833
6,69,2575,19395,1891,1149,14,0,0,25024,1777,18631,2328,4965,7,0,1,27709,52733
6,70,2319,18922,1691,1228,25,1,2,24188,1676,17598,2086,5253,7,0,1,26621,50809
6,71,2172,18713,1589,1349,12,1,0,23836,1595,17155,1962,5624,10,0,0,26346,50182
6,72,1996,18153,1347,1394,15,0,1,22906,1473,16794,1798,6058,8,0,0,26131,49037
6,73,2011,18716,1322,1585,14,1,3,23652,1443,17023,1734,7012,3,0,0,27215,50867
6,74,1837,18788,1230,1734,12,0,1,23602,1377,16546,1604,7625,4,0,0,27156,50758
6,75,1864,19231,1156,2059,12,0,3,24325,1450,16696,1613,8768,6,0,1,28534,52859
