id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
3,0,35496,0,0,0,0,0,0,35496,33606,0,0,0,0,0,0,33606,69102
3,1,37316,0,0,0,0,0,0,37316,35413,0,0,0,0,0,0,35413,72729
3,2,39092,0,0,0,0,0,0,39092,37451,0,0,0,0,0,0,37451,76543
3,3,39754,0,0,0,0,0,0,39754,37612,0,0,0,0,0,0,37612,77366
3,4,41571,0,0,0,0,0,0,41571,39423,0,0,0,0,0,0,39423,80994
3,5,43918,0,0,0,0,0,0,43918,41830,0,0,0,0,0,0,41830,85748
3,6,46190,0,0,0,0,0,0,46190,43506,0,0,0,0,0,0,43506,89696
3,7,48222,0,0,0,0,0,0,48222,45692,0,0,0,0,0,0,45692,93914
3,8,49176,0,0,0,0,0,0,49176,46832,0,0,0,0,0,0,46832,96008
3,9,51586,0,0,0,0,0,0,51586,48515,0,0,0,0,0,0,48515,100101
3,10,52399,0,0,0,0,0,0,52399,49295,0,0,0,0,0,0,49295,101694
3,11,54831,0,0,0,0,0,0,54831,52318,0,0,0,0,0,0,52318,107149
3,12,55553,0,0,0,0,0,0,55553,52768,0,0,0,0,0,0,52768,108321
3,13,57138,0,0,0,0,0,0,57138,53750,0,0,0,0,0,0,53750,110888
3,14,57679,0,0,0,0,0,0,57679,53964,0,0,0,0,0,0,53964,111643
3,15,58605,0,0,0,0,0,0,58605,55269,0,0,0,0,0,0,55269,113874
3,16,58846,2,0,0,0,0,0,58848,54683,2,0,0,0,0,0,54685,113533
3,17,58365,1,1,0,0,0,0,58367,54606,3,1,0,0,0,0,54610,112977
3,18,58181,2,1,0,0,0,0,58184,53543,27,1,0,1,0,0,53572,111756
3,19,58883,5,0,1,0,0,0,58889,53629,101,0,0,0,0,0,53730,112619
3,20,57506,36,2,0,0,0,0,57544,52237,300,3,0,1,0,0,52541,110085
3,21,57125,73,0,0,4,0,0,57202,51825,506,2,1,0,0,0,52334,109536
3,22,57147,141,20,0,1,0,0,57309,51601,877,21,0,1,0,0,52500,109809
3,23,58759,318,28,1,7,0,0,59113,51757,1347,33,1,6,0,0,53144,112257
3,24,57943,569,44,0,9,0,0,58565,50097,1931,46,6,10,0,0,52090,110655
3,25,59116,897,49,1,12,0,0,60075,49977,2881,59,2,12,1,0,52932,113007
3,26,57780,1415,48,3,15,0,0,59261,48936,4093,71,5,16,0,0,53121,112382
3,27,57168,2075,62,1,16,0,0,59322,48037,5429,104,8,20,4,0,53602,112924
3,28,56328,3168,77,0,33,3,1,59610,46585,7275,153,8,36,4,0,54061,113671
3,29,54956,4357,89,6,39,2,0,59449,45275,9553,217,19,50,3,0,55117,114566
3,30,53990,5963,144,7,47,3,0,60154,44033,12057,277,19,65,9,0,56460,116614
3,31,54426,8370,174,13,52,3,0,63038,43417,15679,414,40,71,9,0,59630,122668
3,32,51216,10689,211,31,91,2,0,62240,40669,18003,571,60,78,6,0,59387,121627
3,33,51089,13246,322,36,87,10,0,64790,39523,21197,740,83,98,5,2,61648,126438
3,34,47461,15866,407,38,91,1,0,63864,37077,23923,900,94,93,4,0,62091,125955
3,35,46230,19041,561,50,116,3,0,66001,35732,27406,1162,131,136,8,2,64577,130578
3,36,42934,21035,647,36,120,2,0,64774,33136,29288,1280,163,141,10,1,64019,128793
3,37,40251,23408,846,69,112,8,0,64694,31151,31214,1853,254,115,9,0,64596,129290
3,38,39874,26197,1065,61,131,11,2,67341,30781,34213,2066,304,120,9,1,67494,134835
3,39,38279,29443,1214,85,131,1,2,69155,29598,36346,2396,311,120,8,0,68779,137934
3,40,37149,32104,1454,90,146,7,1,70951,28665,39025,2646,352,123,2,0,70813,141764
3,41,36473,34945,1691,98,159,7,1,73374,28373,41265,3029,432,148,5,0,73252,146626
3,42,34567,36561,1978,199,143,5,1,73454,27055,43091,3568,617,133,4,0,74468,147922
3,43,33784,38975,2249,219,136,4,0,75367,26178,45002,3906,699,93,11,0,75889,151256
3,44,33163,41271,2711,244,185,4,0,77578,25852,47844,4599,900,115,8,0,79318,156896
3,45,33815,44571,3056,258,158,5,1,81864,26409,51064,5270,961,104,4,0,83812,165676
3,46,33240,46747,3479,280,155,2,1,83904,25636,53586,5888,1040,110,3,1,86264,170168
3,47,32802,49593,4063,329,155,6,1,86949,25486,56909,6259,1331,103,7,0,90095,177044
3,48,33040,53053,4497,406,180,4,2,91182,25496,60546,7180,1429,111,7,0,94769,185951
3,49,32773,56290,4995,398,191,6,5,94658,25040,64095,7843,1692,117,2,0,98789,193447
3,50,30424,57718,5507,454,174,6,1,94284,23846,64639,8214,1885,99,3,1,98687,192971
3,51,28991,59638,5867,528,181,5,1,95211,22154,66212,8770,2080,98,2,3,99319,194530
