Età,Anno,Totale maschi,Totale femmine,Totale
0,1982,310735,293998,604733
1,1982,323094,306064,629158
2,1982,340880,323355,664235
3,1982,359940,340558,700498
4,1982,374037,354642,728679
5,1982,397291,376364,773655
6,1982,419612,398536,818148
7,1982,440453,417894,858347
8,1982,442133,421219,863352
9,1982,450190,426934,877124
10,1982,458573,436369,894942
11,1982,454866,433632,888498
12,1982,469932,449150,919082
13,1982,464940,444554,909494
14,1982,471142,453075,924217
15,1982,484971,467327,952298
16,1982,486643,469596,956239
17,1982,496398,478098,974496
18,1982,467986,451477,919463
19,1982,451509,437874,889383
20,1982,448329,433676,882005
21,1982,432934,419136,852070
22,1982,423436,410932,834368
23,1982,403937,396518,800455
24,1982,402059,396342,798401
25,1982,396981,392937,789918
26,1982,389818,387659,777477
27,1982,386225,386857,773082
28,1982,372196,369989,742185
29,1982,369973,370884,740857
30,1982,372822,372940,745762
31,1982,389293,390172,779465
32,1982,395364,396580,791944
33,1982,417245,419444,836689
34,1982,412023,413546,825569
35,1982,417847,419967,837814
36,1982,325223,328237,653460
37,1982,337622,340736,678358
38,1982,344352,349670,694022
39,1982,345859,352422,698281
40,1982,350974,357231,708205
41,1982,389270,398736,788006
42,1982,388231,397266,785497
43,1982,381492,391491,772983
44,1982,358185,368381,726566
45,1982,344370,356961,701331
46,1982,356281,368979,725260
47,1982,351745,364937,716682
48,1982,350346,363151,713497
49,1982,342869,359953,702822
50,1982,351188,368043,719231
51,1982,368249,387947,756196
52,1982,341807,361074,702881
53,1982,342315,363043,705358
54,1982,342033,365636,707669
55,1982,335393,362372,697765
56,1982,329452,361148,690600
57,1982,323892,359683,683575
58,1982,320006,361029,681035
59,1982,306432,361574,668006
60,1982,301210,356298,657508
61,1982,299777,356891,656668
62,1982,195010,232802,427812
63,1982,148691,181337,330028
64,1982,157463,187478,344941
65,1982,192998,234389,427387
66,1982,238999,293474,532473
67,1982,242922,300080,543002
68,1982,241004,301076,542080
69,1982,235304,296715,532019
70,1982,211681,273931,485612
71,1982,209861,273938,483799
72,1982,187963,251996,439959
73,1982,176670,244999,421669
74,1982,151797,217797,369594
75,1982,140536,206818,347354
76,1982,125969,190716,316685
77,1982,112004,178919,290923
78,1982,94863,156983,251846
79,1982,88714,150535,239249
80,1982,73785,131794,205579
81,1982,64619,118581,183200
82,1982,55441,105381,160822
83,1982,46260,92176,138436
84,1982,37089,78982,116071
85,1982,133405,314555,447960
99,1982,27487428,29036636,56524064
0,1983,321821,305106,626927
1,1983,311328,294978,606306
2,1983,323215,306558,629773
3,1983,340058,322980,663038
4,1983,359687,341023,700710
5,1983,373806,355189,728995
6,1983,396443,376596,773039
7,1983,418986,399052,818038
8,1983,439687,418754,858441
9,1983,441545,422107,863652
10,1983,449897,427304,877201
11,1983,458262,436195,894457
12,1983,454156,433330,887486
13,1983,468909,448763,917672
14,1983,463982,444153,908135
15,1983,470107,452611,922718
16,1983,483845,466934,950779
17,1983,485501,469195,954696
18,1983,495216,477441,972657
19,1983,466720,450803,917523
20,1983,450329,437392,887721
21,1983,446869,433107,879976
22,1983,431186,418550,849736
23,1983,421901,410345,832246
24,1983,402618,395919,798537
25,1983,400870,395647,796517
26,1983,395734,392378,788112
27,1983,388897,387050,775947
28,1983,385436,386407,771843
29,1983,371316,369450,740766
30,1983,369224,370389,739613
31,1983,371929,372368,744297
32,1983,388348,389617,777965
33,1983,394290,395746,790036
34,1983,416137,418576,834713
35,1983,410888,412653,823541
36,1983,416436,419039,835475
37,1983,324338,327527,651865
38,1983,336617,339781,676398
39,1983,343197,348482,691679
40,1983,344786,351732,696518
41,1983,349786,356500,706286
42,1983,387748,397667,785415
43,1983,386659,395986,782645
44,1983,380029,390253,770282
45,1983,356677,367168,723845
46,1983,342572,355811,698383
47,1983,354500,367746,722246
48,1983,349840,363638,713478
49,1983,348249,361810,710059
50,1983,340574,358566,699140
51,1983,348693,366454,715147
52,1983,365404,386229,751633
53,1983,338775,359223,697998
54,1983,339151,361043,700194
55,1983,338504,363529,702033
56,1983,331143,360175,691318
57,1983,325267,358696,683963
58,1983,319333,356978,676311
59,1983,315179,358056,673235
60,1983,301500,358432,659932
61,1983,295817,352877,648694
62,1983,293822,353094,646916
63,1983,190697,229710,420407
64,1983,145215,178722,323937
65,1983,153286,184830,338116
66,1983,187741,230768,418509
67,1983,231879,288556,520435
68,1983,235100,294670,529770
69,1983,232405,294926,527331
70,1983,226270,290337,516607
71,1983,202552,267341,469893
72,1983,200169,266791,466960
73,1983,178261,244646,422907
74,1983,166599,236751,403350
75,1983,142198,209544,351742
76,1983,130790,198249,329039
77,1983,116369,181849,298218
78,1983,102731,169474,272205
79,1983,86162,147592,233754
80,1983,79979,140565,220544
81,1983,65766,122288,188054
82,1983,56894,108570,165464
83,1983,48319,95326,143645
84,1983,39810,82676,122486
85,1983,137262,327499,464761
99,1983,27500193,29062838,56563031
0,1984,311555,294221,605776
1,1984,320216,304067,624283
2,1984,312589,296659,609248
3,1984,323340,307040,630380
4,1984,339314,322639,661953
5,1984,359477,341444,700921
6,1984,373582,355695,729277
7,1984,395683,376796,772479
8,1984,418382,399651,818033
9,1984,439018,419503,858521
10,1984,441170,422339,863509
11,1984,449503,427221,876724
12,1984,457953,436106,894059
13,1984,453490,433092,886582
14,1984,468001,448437,916438
15,1984,463108,443817,906925
16,1984,469138,452259,921397
17,1984,482732,466596,949328
18,1984,484388,468644,953032
19,1984,494142,476783,970925
20,1984,465299,450262,915561
21,1984,448928,436958,885886
22,1984,445276,432569,877845
23,1984,429420,418059,847479
24,1984,420449,409867,830316
25,1984,401322,395441,796763
26,1984,399741,395095,794836
27,1984,394610,391932,786542
28,1984,388102,386606,774708
29,1984,384721,386074,770795
30,1984,370568,369017,739585
31,1984,368616,370017,738633
32,1984,371163,371912,743075
33,1984,387549,389144,776693
34,1984,393388,395040,788428
35,1984,415158,417832,832990
36,1984,409879,411879,821758
37,1984,415190,418258,833448
38,1984,323584,326758,650342
39,1984,335703,338942,674645
40,1984,342083,347754,689837
41,1984,343819,351030,694849
42,1984,348575,355735,704310
43,1984,386292,396753,783045
44,1984,385325,394748,780073
45,1984,378494,389080,767574
46,1984,355070,366016,721086
47,1984,340821,354714,695535
48,1984,352664,366496,719160
49,1984,347865,362364,710229
50,1984,345959,360443,706402
51,1984,338247,357204,695451
52,1984,346033,364866,710899
53,1984,362282,384509,746791
54,1984,335432,357252,692684
55,1984,335571,358921,694492
56,1984,334646,361317,695963
57,1984,326685,358024,684709
58,1984,320902,356125,677027
59,1984,314393,354220,668613
60,1984,310084,355106,665190
61,1984,296140,355120,651260
62,1984,289978,349309,639287
63,1984,287483,349082,636565
64,1984,186110,226644,412754
65,1984,141337,176003,317340
66,1984,148913,181997,330910
67,1984,182035,227042,409077
68,1984,224340,283296,507636
69,1984,226548,288855,515403
70,1984,223304,288317,511621
71,1984,216766,283357,500123
72,1984,193003,260381,453384
73,1984,189611,258975,448586
74,1984,168037,236468,404505
75,1984,155918,227802,383720
76,1984,132125,200469,332594
77,1984,120534,188892,309426
78,1984,106457,172154,278611
79,1984,93077,158994,252071
80,1984,77387,137387,214774
81,1984,71127,129405,200532
82,1984,57734,111883,169617
83,1984,49326,97839,147165
84,1984,41460,84503,125963
85,1984,140644,337512,478156
99,1984,27496083,29069034,56565117
0,1985,303502,287354,590856
1,1985,310140,293225,603365
2,1985,318720,303222,621942
3,1985,313772,298199,611971
4,1985,323496,307471,630967
5,1985,338645,322366,661011
6,1985,359266,341855,701121
7,1985,373389,356187,729576
8,1985,394929,377025,771954
9,1985,417854,400189,818043
10,1985,438656,419716,858372
11,1985,440865,422263,863128
12,1985,449110,427172,876282
13,1985,457774,436115,893889
14,1985,452927,432926,885853
15,1985,467199,448185,915384
16,1985,462304,443551,905855
17,1985,468216,451969,920185
18,1985,481723,466164,947887
19,1985,483395,468071,951466
20,1985,493023,476293,969316
21,1985,463572,449764,913336
22,1985,447456,436598,884054
23,1985,443664,432150,875814
24,1985,427677,417649,845326
25,1985,419045,409492,828537
26,1985,400179,395081,795260
27,1985,398791,394688,793479
28,1985,393639,391602,785241
29,1985,387442,386270,773712
30,1985,384177,385821,769998
31,1985,369940,368711,738651
32,1985,368090,369754,737844
33,1985,370462,371552,742014
34,1985,386903,388766,775669
35,1985,392550,394414,786964
36,1985,414292,417197,831489
37,1985,408989,411204,820193
38,1985,414086,417461,831547
39,1985,322874,326166,649040
40,1985,334841,338448,673289
41,1985,341028,347035,688063
42,1985,342781,350316,693097
43,1985,347513,355022,702535
44,1985,385085,395844,780929
45,1985,383933,393593,777526
46,1985,376934,387956,764890
47,1985,353489,364901,718390
48,1985,339042,353689,692731
49,1985,350789,365269,716058
50,1985,345887,361106,706993
51,1985,343722,359113,702835
52,1985,335906,355860,691766
53,1985,343280,363295,706575
54,1985,359036,382860,741896
55,1985,332142,355287,687429
56,1985,331946,356873,688819
57,1985,330669,359113,689782
58,1985,322274,355824,678098
59,1985,316351,353598,669949
60,1985,309475,351371,660846
61,1985,304894,352116,657010
62,1985,290713,351784,642497
63,1985,284153,345657,629810
64,1985,281135,345053,626188
65,1985,181442,223432,404874
66,1985,137565,173306,310871
67,1985,144533,179236,323769
68,1985,176327,223165,399492
69,1985,216752,277976,494728
70,1985,218071,282806,500877
71,1985,214342,281646,495988
72,1985,207182,276188,483370
73,1985,183439,253263,436702
74,1985,179421,250980,430401
75,1985,158016,228219,386235
76,1985,145659,218823,364482
77,1985,122476,191545,314021
