Età,Anno,Totale maschi,Totale femmine,Totale,Totale maschi -1,Totale femmine -1,Totale -1,Totale maschi -2,Totale femmine -2,Totale -2,Totale maschi -3,Totale femmine -3,Totale -3,Totale maschi -4,Totale femmine -4,Totale -4,Totale maschi -5,Totale femmine -5,Totale -5
0,2002,268276,254731,523007,274518,259054,533572,272792,258707,531499,270959,255666,526625,273404,258674,532078,273472,258096,531568
1,2002,271976,257257,529233,271686,258000,529686,269376,254461,523837,270301,255967,526268,271549,256424,527973,268728,253591,522319
2,2002,270620,257511,528131,268009,253275,521284,268321,254294,522615,270552,255675,526227,268475,253479,521954,272417,257543,529960
3,2002,266706,252084,518790,266437,252662,519099,269711,255042,524753,268351,253565,521916,271667,256950,528617,279718,264921,544639
4,2002,264829,251128,515957,268841,254366,523207,268274,253600,521874,271017,256529,527546,278860,264305,543165,290732,275669,566401
5,2002,268123,253760,521883,268120,253597,521717,270494,256127,526621,278324,263880,542204,290059,275153,565212,273657,259476,533133
6,2002,268085,253689,521774,269896,255658,525554,277828,263498,541326,289596,274887,564483,277272,262772,540044,278264,264343,542607
7,2002,269530,255399,524929,277278,263025,540303,289156,274669,563825,280841,266041,546882,281425,267293,548718,277396,264044,541440
8,2002,276926,262711,539637,288717,274342,563059,284236,269050,553286,284385,270156,554541,279695,266174,545869,280479,265713,546192
9,2002,288501,274159,562660,287799,272245,560044,287390,272949,560339,281842,268147,549989,282659,267637,550296,272273,258519,530792
10,2002,291170,275204,566374,290480,275820,566300,284025,270075,554100,284707,269525,554232,273896,259759,533655,276998,263240,540238
11,2002,293330,278439,571769,286194,272129,558323,286776,271288,558064,275401,261019,536420,279050,265187,544237,287181,274665,561846
12,2002,288266,274015,562281,288884,273151,562035,276864,262284,539148,280996,266993,547989,289045,276325,565370,292133,278710,570843
13,2002,290996,274955,565951,278359,263524,541883,282929,268768,551697,290802,277870,568672,293872,280137,574009,300935,285946,586881
14,2002,279971,264790,544761,284992,270600,555592,292507,279324,571831,295479,281507,576986,302586,287349,589935,311102,297975,609077
15,2002,286758,272254,559012,294336,280947,575283,297087,282896,579983,304113,288730,592843,313079,299621,612700,317236,304241,621477
16,2002,295986,282370,578356,298797,284365,583162,305639,290085,595724,314848,301214,616062,318655,305701,624356,324159,310002,634161
17,2002,300400,285701,586101,307354,291517,598871,316652,302794,619446,319965,307152,627117,325578,311582,637160,335784,322034,657818
18,2002,308834,292943,601777,318587,304528,623115,321417,308668,630085,326986,313136,640122,336904,323400,660304,356566,342919,699485
19,2002,320091,306107,626198,322854,310294,633148,328420,314857,643277,337796,325004,662800,356999,343717,700716,370810,358365,729175
