Età,Totale maschi,Totale femmine,Totale,Anno
0,268276,254731,523007,2002
1,271976,257257,529233,2002
2,270620,257511,528131,2002
3,266706,252084,518790,2002
4,264829,251128,515957,2002
5,268123,253760,521883,2002
6,268085,253689,521774,2002
7,269530,255399,524929,2002
8,276926,262711,539637,2002
9,288501,274159,562660,2002
10,291170,275204,566374,2002
11,293330,278439,571769,2002
12,288266,274015,562281,2002
13,290996,274955,565951,2002
14,279971,264790,544761,2002
15,286758,272254,559012,2002
16,295986,282370,578356,2002
17,300400,285701,586101,2002
18,308834,292943,601777,2002
19,320091,306107,626198,2002
20,323918,311733,635651,2002
21,331241,319016,650257,2002
22,341392,330636,672028,2002
23,359526,348868,708394,2002
24,372477,364365,736842,2002
25,393202,385996,779198,2002
26,417331,411288,828619,2002
27,435484,429526,865010,2002
28,437208,432426,869634,2002
29,444829,438839,883668,2002
30,452979,447945,900924,2002
31,448928,444238,893166,2002
32,463220,458147,921367,2002
33,456815,451097,907912,2002
34,459019,455802,914821,2002
35,473799,470041,943840,2002
36,474668,471821,946489,2002
37,481113,477379,958492,2002
38,452721,453404,906125,2002
39,438786,440985,879771,2002
40,432370,435359,867729,2002
41,418288,422817,841105,2002
42,409871,411070,820941,2002
43,391514,393856,785370,2002
44,387490,390625,778115,2002
45,383939,389134,773073,2002
46,378601,385440,764041,2002
47,373714,382686,756400,2002
48,360223,366465,726688,2002
49,357894,367808,725702,2002
50,358245,370295,728540,2002
51,373760,386595,760355,2002
52,376649,386417,763066,2002
53,394008,405554,799562,2002
54,386053,397265,783318,2002
55,387731,402793,790524,2002
56,303624,316897,620521,2002
57,311363,326841,638204,2002
58,315356,334764,650120,2002
59,314309,337080,651389,2002
60,317142,342897,660039,2002
61,349088,379810,728898,2002
62,345216,373870,719086,2002
63,333879,364927,698806,2002
64,307731,340237,647968,2002
65,292289,329638,621927,2002
66,298656,339492,638148,2002
67,287723,332287,620010,2002
68,280088,327011,607099,2002
69,268085,322080,590165,2002
70,266650,326356,593006,2002
71,270106,338662,608768,2002
72,242350,308947,551297,2002
73,232157,304100,536257,2002
74,221866,297974,519840,2002
75,206836,289731,496567,2002
76,195484,283492,478976,2002
77,182007,272342,454349,2002
78,170675,266140,436815,2002
79,155308,255925,411233,2002
80,140864,243600,384464,2002
81,130286,229180,359466,2002
82,78010,140926,218936,2002
83,54136,101434,155570,2002
84,51311,98414,149725,2002
85,57260,113611,170871,2002
86,63204,131070,194274,2002
87,55684,119013,174697,2002
88,48619,106928,155547,2002
89,39876,93168,133044,2002
90,30018,75102,105120,2002
91,23792,62399,86191,2002
92,16128,46385,62513,2002
93,11500,35736,47236,2002
94,7385,24856,32241,2002
95,5180,18183,23363,2002
96,3470,12930,16400,2002
97,2107,8874,10981,2002
98,1252,5586,6838,2002
99,861,4005,4866,2002
100 e oltre,978,5143,6121,2002
Totale,27588289,29404981,56993270,2002
0,275022,260634,535656,2003
1,270053,256524,526577,2003
2,273992,259134,533126,2003
3,272154,258693,530847,2003
4,268722,253762,522484,2003
5,266989,252885,519874,2003
6,270076,255358,525434,2003
7,269977,255117,525094,2003
8,271567,257147,528714,2003
9,278853,264414,543267,2003
10,290204,275716,565920,2003
11,292323,276361,568684,2003
12,294399,279464,573863,2003
13,289323,275036,564359,2003
14,292236,276122,568358,2003
15,281176,265849,547025,2003
16,287317,272666,559983,2003
17,296722,282803,579525,2003
18,301442,286613,588055,2003
19,308961,293657,602618,2003
20,319517,306653,626170,2003
21,323067,312238,635305,2003
22,330570,320051,650621,2003
23,341334,332575,673909,2003
24,360179,351576,711755,2003
25,373898,367279,741177,2003
26,394884,389186,784070,2003
27,419024,414434,833458,2003
28,437850,433779,871629,2003
29,439903,435836,875739,2003
30,448219,442410,890629,2003
31,455203,450846,906049,2003
32,451136,445597,896733,2003
33,465028,461043,926071,2003
34,457385,456301,913686,2003
35,460877,458942,919819,2003
36,477416,473160,950576,2003
37,477485,473605,951090,2003
38,483036,479357,962393,2003
39,454341,454837,909178,2003
40,439998,442069,882067,2003
41,433225,435946,869171,2003
42,419136,423380,842516,2003
43,410671,411876,822547,2003
44,392243,394841,787084,2003
45,388256,391550,779806,2003
46,384351,389609,773960,2003
47,378853,385681,764534,2003
48,373916,382940,756856,2003
49,360227,366647,726874,2003
50,357512,367501,725013,2003
51,357837,369751,727588,2003
52,373104,386000,759104,2003
53,375899,386387,762286,2003
54,393241,405584,798825,2003
55,385362,397342,782704,2003
56,386795,402532,789327,2003
57,302262,316371,618633,2003
58,310098,326244,636342,2003
59,313625,334181,647806,2003
60,312448,336164,648612,2003
61,314989,341841,656830,2003
62,346471,378480,724951,2003
63,342175,372755,714930,2003
64,330833,363759,694592,2003
65,304794,339141,643935,2003
66,288470,327779,616249,2003
67,294246,337314,631560,2003
68,283133,329963,613096,2003
69,274779,324493,599272,2003
70,262273,319013,581286,2003
71,260102,322608,582710,2003
72,262663,334410,597073,2003
73,234806,304704,539510,2003
74,224282,299405,523687,2003
75,214050,292910,506960,2003
76,198355,283855,482210,2003
77,186635,276515,463150,2003
78,173240,265108,438348,2003
79,159921,258060,417981,2003
80,144806,247392,392198,2003
81,129717,234367,364084,2003
82,116995,219408,336403,2003
83,70850,133133,203983,2003
84,48660,94892,143552,2003
85,45434,91165,136599,2003
86,50189,104160,154349,2003
87,54627,118198,172825,2003
88,47420,105238,152658,2003
89,40424,91227,131651,2003
90,32581,79856,112437,2003
91,23915,63138,87053,2003
92,18639,51320,69959,2003
93,12293,37424,49717,2003
94,8472,28133,36605,2003
95,5312,18999,24311,2003
96,3718,13536,17254,2003
97,2386,9411,11797,2003
98,1406,6237,7643,2003
99,867,3835,4702,2003
100 e oltre,1201,5892,7093,2003
Totale,27687048,29499330,57186378,2003
0,278646,263677,542323,2004
1,276225,261795,538020,2004
2,272492,258551,531043,2004
3,276432,261075,537507,2004
4,273990,260074,534064,2004
5,271068,255691,526759,2004
6,269528,254912,524440,2004
7,272244,257186,529430,2004
8,271960,256652,528612,2004
9,273769,258991,532760,2004
10,280940,266114,547054,2004
11,292147,277352,569499,2004
12,293603,277577,571180,2004
13,295636,280467,576103,2004
14,290590,276020,566610,2004
15,293625,277257,570882,2004
16,282748,267161,549909,2004
17,288237,273276,561513,2004
18,298093,283976,582069,2004
19,303438,288369,591807,2004
20,311416,295905,607321,2004
21,322643,309940,632583,2004
22,326997,316389,643386,2004
23,336136,325371,661507,2004
24,348128,339312,687440,2004
25,368230,359612,727842,2004
26,382877,376002,758879,2004
27,404474,398072,802546,2004
28,428659,424542,853201,2004
29,448424,442804,891228,2004
30,450364,444881,895245,2004
31,456859,449922,906781,2004
32,462571,456185,918756,2004
33,457971,451459,909430,2004
34,469602,468564,938166,2004
35,463072,462766,925838,2004
36,468023,465602,933625,2004
37,482495,478432,960927,2004
38,481752,478694,960446,2004
39,487346,484752,972098,2004
40,457723,459547,917270,2004
41,443012,446588,889600,2004
42,435760,440128,875888,2004
43,421790,427543,849333,2004
44,412856,416218,829074,2004
45,394084,399170,793254,2004
46,390153,395790,785943,2004
47,385739,393117,778856,2004
48,379828,388804,768632,2004
49,374653,385857,760510,2004
50,360668,369278,729946,2004
51,357415,369567,726982,2004
52,357542,371308,728850,2004
53,372660,387108,759768,2004
54,375286,387904,763190,2004
55,392493,406848,799341,2004
56,384614,398449,783063,2004
57,385746,403026,788772,2004
58,300793,316320,617113,2004
59,308524,326114,634638,2004
60,311934,333825,645759,2004
61,310251,335319,645570,2004
62,312485,340670,653155,2004
63,343399,377030,720429,2004
64,338754,371531,710285,2004
65,327434,362478,689912,2004
66,301424,337787,639211,2004
67,284153,325670,609823,2004
68,289320,334836,624156,2004
69,277868,327241,605109,2004
70,268910,321349,590259,2004
71,255734,315206,570940,2004
72,252750,318217,570967,2004
73,254691,329365,584056,2004
74,226546,299420,525966,2004
75,215526,293746,509272,2004
76,205374,286665,492039,2004
77,189198,276807,466005,2004
78,176881,268535,445416,2004
79,163588,256538,420126,2004
80,148236,248691,396927,2004
81,133013,237164,370177,2004
82,118645,223016,341661,2004
83,103118,207775,310893,2004
84,63598,124334,187932,2004
85,43065,87596,130661,2004
86,39566,83029,122595,2004
87,42904,93491,136395,2004
88,46042,103055,149097,2004
89,39049,88777,127826,2004
90,32661,77057,109718,2004
91,25684,66372,92056,2004
92,18343,51390,69733,2004
93,14038,40661,54699,2004
94,8989,28824,37813,2004
95,5973,20981,26954,2004
96,3605,13889,17494,2004
97,2461,9519,11980,2004
98,1531,6370,7901,2004
99,891,4080,4971,2004
100 e oltre,1298,5902,7200,2004
Totale,27903719,29708271,57611990,2004
0,286668,271832,558500,2005
1,280318,265278,545596,2005
2,277714,263146,540860,2005
3,274944,260601,535545,2005
4,279102,263227,542329,2005
5,276032,261655,537687,2005
6,273850,257911,531761,2005
7,272135,257132,529267,2005
8,274460,259097,533557,2005
9,274212,258543,532755,2005
10,276572,261384,537956,2005
11,283426,268196,551622,2005
12,294367,279228,573595,2005
13,295477,279174,574651,2005
14,297175,281817,578992,2005
15,292249,277460,569709,2005
16,295661,278906,574567,2005
17,285199,269013,554212,2005
18,290868,275284,566152,2005
19,299618,285877,585495,2005
20,305238,290718,595956,2005
21,313582,298673,612255,2005
22,325576,313648,639224,2005
23,330791,320757,651548,2005
24,340859,330586,671445,2005
25,354414,345460,699874,2005
26,375540,366759,742299,2005
27,390856,383265,774121,2005
28,412893,407051,819944,2005
29,437439,431387,868826,2005
30,458047,450310,908357,2005
31,457801,450376,908177,2005
32,463228,453289,916517,2005
33,468201,460369,928570,2005
34,460899,457946,918845,2005
35,474151,473035,947186,2005
36,470096,467856,937952,2005
37,473727,470176,943903,2005
38,486243,482275,968518,2005
39,485593,482353,967946,2005
40,490976,488695,979671,2005
41,460659,462906,923565,2005
42,445520,449790,895310,2005
