Età,Sesso,Anno,Totale
0,Maschi,2002,268276
0,Femmine,2002,254731
1,Maschi,2002,271976
1,Femmine,2002,257257
10,Maschi,2002,291170
10,Femmine,2002,275204
11,Maschi,2002,293330
11,Femmine,2002,278439
12,Maschi,2002,288266
12,Femmine,2002,274015
13,Maschi,2002,290996
13,Femmine,2002,274955
14,Maschi,2002,279971
14,Femmine,2002,264790
15,Maschi,2002,286758
15,Femmine,2002,272254
16,Maschi,2002,295986
16,Femmine,2002,282370
17,Maschi,2002,300400
17,Femmine,2002,285701
18,Maschi,2002,308834
18,Femmine,2002,292943
19,Maschi,2002,320091
19,Femmine,2002,306107
2,Maschi,2002,270620
2,Femmine,2002,257511
20,Maschi,2002,323918
20,Femmine,2002,311733
21,Maschi,2002,331241
21,Femmine,2002,319016
22,Maschi,2002,341392
22,Femmine,2002,330636
23,Maschi,2002,359526
23,Femmine,2002,348868
24,Maschi,2002,372477
24,Femmine,2002,364365
25,Maschi,2002,393202
25,Femmine,2002,385996
26,Maschi,2002,417331
26,Femmine,2002,411288
27,Maschi,2002,435484
27,Femmine,2002,429526
28,Maschi,2002,437208
28,Femmine,2002,432426
29,Maschi,2002,444829
29,Femmine,2002,438839
3,Maschi,2002,266706
3,Femmine,2002,252084
30,Maschi,2002,452979
30,Femmine,2002,447945
31,Maschi,2002,448928
31,Femmine,2002,444238
32,Maschi,2002,463220
32,Femmine,2002,458147
33,Maschi,2002,456815
33,Femmine,2002,451097
34,Maschi,2002,459019
34,Femmine,2002,455802
35,Maschi,2002,473799
35,Femmine,2002,470041
36,Maschi,2002,474668
36,Femmine,2002,471821
37,Maschi,2002,481113
37,Femmine,2002,477379
38,Maschi,2002,452721
38,Femmine,2002,453404
39,Maschi,2002,438786
39,Femmine,2002,440985
4,Maschi,2002,264829
4,Femmine,2002,251128
40,Maschi,2002,432370
40,Femmine,2002,435359
41,Maschi,2002,418288
41,Femmine,2002,422817
42,Maschi,2002,409871
42,Femmine,2002,411070
43,Maschi,2002,391514
43,Femmine,2002,393856
44,Maschi,2002,387490
44,Femmine,2002,390625
45,Maschi,2002,383939
45,Femmine,2002,389134
46,Maschi,2002,378601
46,Femmine,2002,385440
47,Maschi,2002,373714
47,Femmine,2002,382686
