Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,Maschi,268276,275022,278646,286668,284192,286772,288756,293072,289377,284926,276371,274396,263091,257024,248474,241228,234151,221685,212756,208412,205371,203086,195688,194013,196843,194558,187160,185482,188312
0,Femmine,254731,260634,263677,271832,266935,270112,271944,277719,272945,268292,260976,259651,249049,242916,234503,228728,220915,209322,202218,196544,195255,190834,184942,177896,174970,170549,164657,157612,154686
1,Maschi,271976,270053,276225,280318,287042,285122,288524,289814,292642,288996,284199,277263,274308,262728,256954,248341,241422,234386,224617,216969,209824,207218,204738,202006,199260,196654,194174,191442,188696
1,Femmine,257257,256524,261795,265278,272025,267748,271504,273207,277321,272698,267521,261900,259608,248720,242753,234634,228990,221360,212168,206300,197810,197034,192455,193423,196441,195665,191086,192055,195073
2,Maschi,270620,273992,272492,277714,281879,287756,286884,289944,290510,292330,288638,285627,277877,273801,262071,256565,248127,241671,235153,228106,217987,211696,208930,202674,192860,186569,183803,177546,167731
2,Femmine,257511,259134,258551,263146,266608,272591,269262,272696,273807,276734,272305,268849,262572,259094,248046,242535,234683,229142,222161,215465,207196,199551,198642,197545,183184,175539,174630,173530,159169
3,Maschi,266706,272154,276432,274944,279355,283181,289244,288619,290910,291096,291941,289965,286447,277707,273332,261241,256349,248155,242107,238741,228694,219719,213459,209753,198124,189149,182889,179184,167555
3,Femmine,252084,258693,261075,260601,264413,267627,273756,270574,273626,274123,276194,273553,269587,262193,258472,247328,242295,234791,229589,225498,215944,208732,201122,198932,192134,184922,177311,175121,168323
4,Maschi,264829,268722,273990,279102,277441,280469,285321,290529,289723,291559,291391,293142,290759,286208,277314,272739,260667,256257,248565,246617,239183,230081,221288,217855,208432,199330,190537,187105,177681
4,Femmine,251128,253762,260074,263227,262690,265313,269433,274598,271176,274004,274233,277391,274306,269439,261860,257945,246685,241983,235204,233858,225570,217293,210212,208528,199075,190798,183717,182032,172579
5,Maschi,268123,266989,271068,276032,281795,279460,282742,287063,291180,290356,292085,292645,293794,290660,286000,276899,272287,260616,256796,253592,245640,240388,231752,223791,221923,216671,208035,200073,198205
5,Femmine,253760,252885,255691,261655,265491,264439,267184,270900,275231,271708,274353,275414,277866,274255,269014,261416,257429,246502,242348,239726,233044,226752,218688,215245,210718,204426,196362,192921,188394
6,Maschi,268085,270076,269528,273850,278094,284001,282598,284550,288196,291568,290933,293208,293185,293514,290495,285572,276525,272398,260833,257712,252296,247005,241613,242008,236852,231561,226169,226565,221409
6,Femmine,253689,255358,254912,257911,263408,267379,267034,268736,271852,275384,272236,275361,276012,277703,273921,268651,261051,257211,246458,243319,238523,234312,227751,228553,226695,222484,215923,216722,214864
7,Maschi,269530,269977,272244,272135,276553,279757,287279,285368,285727,289164,292059,291830,293710,292919,293071,289958,285109,276672,272305,262489,260055,253577,248294,235419,227796,221318,216035,203163,195540
7,Femmine,255399,255117,257186,257132,260177,264807,270292,269411,269760,272571,275749,273164,275776,275863,277236,273526,268393,261137,257168,247948,245536,239574,235369,222701,214966,209004,204799,192130,184395
8,Maschi,276926,271567,271960,274460,275112,278803,282488,290042,287562,286656,289936,293038,292144,293483,292714,292572,289604,285251,276769,273619,263845,261164,255000,255409,256222,253541,247377,247787,248600
8,Femmine,262711,257147,256652,259097,259534,262072,267348,272701,271143,270536,273229,276683,273641,275646,275662,276877,273114,268440,261133,258440,249119,246566,240818,240593,241239,238686,232937,232712,233357
9,Maschi,288501,278853,273769,274212,277046,277410,281966,285047,292548,289425,287599,290885,293604,292026,293478,292308,292160,289719,285537,278649,275299,264925,262545,254092,246841,240561,235257,227601,220351
