Età,Anno,Totale maschi,Totale femmine,Totale,Totale maschi -1,Totale femmine -1,Totale -1
0,2010,289377,272945,562322,293072,277719,570791
1,2010,292642,277321,569963,289814,273207,563021
2,2010,290510,273807,564317,289944,272696,562640
3,2010,290910,273626,564536,288619,270574,559193
4,2010,289723,271176,560899,290529,274598,565127
5,2010,291180,275231,566411,287063,270900,557963
6,2010,288196,271852,560048,284550,268736,553286
7,2010,285727,269760,555487,285368,269411,554779
8,2010,287562,271143,558705,290042,272701,562743
9,2010,292548,274644,567192,285047,269448,554495
10,2010,287074,271122,558196,285051,267642,552693
11,2010,287660,269801,557461,283706,267301,551007
12,2010,286343,269437,555780,285188,268183,553371
13,2010,287533,270100,557633,284612,267326,551938
14,2010,287118,269237,556355,287739,270945,558684
15,2010,290499,273040,563539,294126,277490,571616
16,2010,296991,279655,576646,304613,288086,592699
17,2010,307701,290241,597942,304083,286492,590575
18,2010,308168,288974,597142,307832,290183,598015
19,2010,311855,294029,605884,305747,288569,594316
20,2010,309326,293154,602480,311275,294037,605312
21,2010,314703,299503,614206,302270,288167,590437
22,2010,306044,294223,600267,303779,292740,596519
23,2010,307650,298617,606267,312198,305944,618142
24,2010,316142,312002,628144,319389,313318,632707
25,2010,323523,319476,642999,327373,321096,648469
26,2010,331355,326861,658216,338931,336787,675718
27,2010,342322,341941,684263,343501,343127,686628
28,2010,346191,348499,694690,354598,354893,709491
29,2010,357640,358789,716429,368829,370944,739773
30,2010,371641,374959,746600,392519,393133,785652
31,2010,394633,396477,791110,408717,407674,816391
32,2010,410191,409155,819346,429624,425910,855534
33,2010,430306,427759,858065,450765,446335,897100
34,2010,449387,449988,899375,467613,466356,933969
35,2010,467616,469274,936890,463724,465006,928730
36,2010,465586,468143,933729,470520,469704,940224
37,2010,471824,472505,944329,475456,476920,952376
38,2010,476070,479630,955700,471977,472621,944598
39,2010,473009,475282,948291,485635,487118,972753
40,2010,486346,489586,975932,481082,482952,964034
41,2010,482058,486062,968120,483131,486025,969156
42,2010,483954,489262,973216,491825,493135,984960
43,2010,491911,495515,987426,491003,493334,984337
44,2010,491048,495552,986600,496971,500571,997542
45,2010,497244,503045,1000289,464929,472798,937727
46,2010,464886,474752,939638,448893,458766,907659
47,2010,448706,460538,909244,440118,450822,890940
48,2010,439708,452596,892304,426319,438019,864338
49,2010,425889,439569,865458,416395,427813,844208
50,2010,415954,429559,845513,397045,410535,807580
51,2010,396499,412359,808858,393165,407180,800345
52,2010,392751,409143,801894,386619,401415,788034
53,2010,385779,402734,788513,379743,395775,775518
54,2010,378780,396767,775547,373443,391588,765031
55,2010,372378,392427,764805,358474,373597,732071
56,2010,357278,374195,731473,353028,371103,724131
57,2010,351302,371019,722321,352273,371332,723605
58,2010,350622,371003,721625,366470,385951,752421
59,2010,364549,385444,749993,368587,388570,757157
60,2010,366604,388245,754849,384666,407209,791875
61,2010,382337,406834,789171,376669,398578,775247
62,2010,374164,398165,772329,376473,401281,777754
63,2010,373839,400469,774308,290749,312377,603126
64,2010,287995,311253,599248,297684,322370,620054
65,2010,294812,321074,615886,299221,328561,627782
66,2010,296051,327098,623149,296414,328237,624651
67,2010,292785,326368,619153,296493,332433,628926
68,2010,292233,330172,622405,324201,366469,690670
69,2010,319144,363683,682827,317252,361096,678348
70,2010,311724,358198,669922,304583,352068,656651
