Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale,Anno
0,221685,0,0,0,0,0,0,221685,209322,0,0,0,0,0,0,209322,431007,2019
1,234386,0,0,0,0,0,0,234386,221360,0,0,0,0,0,0,221360,455746,2019
2,241671,0,0,0,0,0,0,241671,229142,0,0,0,0,0,0,229142,470813,2019
3,248155,0,0,0,0,0,0,248155,234791,0,0,0,0,0,0,234791,482946,2019
4,256257,0,0,0,0,0,0,256257,241983,0,0,0,0,0,0,241983,498240,2019
5,260616,0,0,0,0,0,0,260616,246502,0,0,0,0,0,0,246502,507118,2019
6,272398,0,0,0,0,0,0,272398,257211,0,0,0,0,0,0,257211,529609,2019
7,276672,0,0,0,0,0,0,276672,261137,0,0,0,0,0,0,261137,537809,2019
8,285251,0,0,0,0,0,0,285251,268440,0,0,0,0,0,0,268440,553691,2019
9,289719,0,0,0,0,0,0,289719,273327,0,0,0,0,0,0,273327,563046,2019
10,292417,0,0,0,0,0,0,292417,276854,0,0,0,0,0,0,276854,569271,2019
11,292452,0,0,0,0,0,0,292452,275360,0,0,0,0,0,0,275360,567812,2019
12,293239,0,0,0,0,0,0,293239,275337,0,0,0,0,0,0,275337,568576,2019
13,291565,0,0,0,0,0,0,291565,273470,0,0,0,0,0,0,273470,565035,2019
14,293836,0,0,0,0,0,0,293836,277332,0,0,0,0,0,0,277332,571168,2019
15,292016,0,0,0,0,0,0,292016,274845,0,0,0,0,0,0,274845,566861,2019
16,290455,12,7,2,0,0,0,290476,273110,21,8,2,0,0,0,273141,563617,2019
17,295097,17,10,3,0,0,0,295127,275611,47,4,1,0,0,0,275663,570790,2019
18,306015,43,8,2,0,0,0,306068,280379,415,7,4,0,0,0,280805,586873,2019
19,307317,190,25,21,1,0,0,307554,276333,1626,10,5,7,0,0,277981,585535,2019
20,313057,469,14,12,5,2,0,313559,274819,3705,21,9,5,0,0,278559,592118,2019
21,309390,928,16,20,11,1,1,310367,273257,6454,37,6,6,0,0,279760,590127,2019
22,307996,1996,25,28,20,1,0,310066,271245,10193,60,12,19,0,0,281529,591595,2019
23,304434,3743,45,24,36,0,0,308282,266591,15466,120,19,26,0,0,282222,590504,2019
24,303847,6047,74,25,39,1,1,310034,265122,22566,181,33,25,2,0,287929,597963,2019
25,304249,10134,85,30,52,2,0,314552,263130,32228,364,46,44,1,0,295813,610365,2019
26,310791,16317,159,49,61,0,0,327377,262651,45721,510,67,62,1,1,309013,636390,2019
27,300291,24506,257,35,69,2,0,325160,248331,60208,770,82,47,1,0,309439,634599,2019
28,295804,35412,364,35,120,2,0,331737,236642,77982,1129,141,81,0,1,315976,647713,2019
29,279225,48606,564,68,114,2,1,328580,219584,96407,1663,189,106,3,0,317952,646532,2019
30,270451,64677,787,66,157,2,0,336140,204597,118408,2130,261,144,1,1,325542,661682,2019
31,247613,79604,1039,79,183,1,0,328519,183336,133748,2862,349,140,4,0,320439,648958,2019
32,231760,96152,1397,84,229,2,1,329625,168402,150110,3707,436,147,2,1,322805,652430,2019
33,223361,112954,1978,96,210,2,0,338601,160187,168284,4751,534,176,2,1,333935,672536,2019
34,210671,131222,2481,130,180,3,1,344688,150103,183464,5771,698,168,2,0,340206,684894,2019
35,200052,146974,3205,157,266,0,0,350654,141131,197366,6814,812,185,2,1,346311,696965,2019
36,192608,164801,3998,180,227,1,1,361816,135575,213955,8169,1099,200,7,0,359005,720821,2019
