Età,Totale maschi,Totale femmine,Totale,Anno
0,212756,202218,414974,2020
1,224617,212168,436785,2020
2,235153,222161,457314,2020
3,242107,229589,471696,2020
4,248565,235204,483769,2020
5,256796,242348,499144,2020
6,260833,246458,507291,2020
7,272305,257168,529473,2020
8,276769,261133,537902,2020
9,285537,268609,554146,2020
10,289596,273168,562764,2020
11,292556,276781,569337,2020
12,292641,275384,568025,2020
13,293544,275519,569063,2020
14,292112,273759,565871,2020
15,294506,277704,572210,2020
16,292771,275235,568006,2020
17,291807,273582,565389,2020
18,298000,276707,574707,2020
19,308381,282363,590744,2020
20,308189,279269,587458,2020
21,313182,279835,593017,2020
22,309970,281029,590999,2020
23,309688,283094,592782,2020
24,307991,283641,591632,2020
25,309378,289242,598620,2020
26,313758,296568,610326,2020
27,326635,310107,636742,2020
28,324590,310423,635013,2020
29,331083,316710,647793,2020
30,328034,318718,646752,2020
31,335493,326158,661651,2020
32,327947,321148,649095,2020
33,329109,323293,652402,2020
34,338166,334375,672541,2020
35,344557,340457,685014,2020
36,350372,346606,696978,2020
37,361476,359300,720776,2020
38,363000,362693,725693,2020
39,373576,370154,743730,2020
40,383170,383701,766871,2020
41,403881,403611,807492,2020
42,415526,417680,833206,2020
43,433364,436100,869464,2020
44,453257,457174,910431,2020
45,471358,475833,947191,2020
46,467247,474137,941384,2020
47,472445,477972,950417,2020
48,474990,484718,959708,2020
49,470760,480305,951065,2020
50,482299,494026,976325,2020
51,478051,490930,968981,2020
52,478289,494239,972528,2020
53,483736,497079,980815,2020
54,481769,496286,978055,2020
55,486783,503388,990171,2020
56,453415,474410,927825,2020
57,436116,459353,895469,2020
58,425668,450711,876379,2020
59,411026,436621,847647,2020
60,399772,425767,825539,2020
61,379385,407946,787331,2020
62,374272,403219,777491,2020
63,365197,394534,759731,2020
64,356296,386962,743258,2020
65,348378,381206,729584,2020
66,331878,361610,693488,2020
67,323404,356098,679502,2020
68,320057,353899,673956,2020
69,329023,365461,694484,2020
70,328058,366082,694140,2020
71,337758,381061,718819,2020
72,326516,370061,696577,2020
73,320411,368668,689079,2020
74,242563,283182,525745,2020
75,244277,289606,533883,2020
76,239378,291246,530624,2020
77,231750,286596,518346,2020
78,225808,285508,511316,2020
79,240020,309824,549844,2020
80,227517,298567,526084,2020
81,209720,284151,493871,2020
82,183104,255966,439070,2020
83,159380,233554,392934,2020
84,151066,228511,379577,2020
85,132945,211312,344257,2020
86,115967,192830,308797,2020
87,98570,174836,273406,2020
88,85751,159752,245503,2020
89,74576,150085,224661,2020
90,56540,121480,178020,2020
91,44385,103848,148233,2020
92,34603,86770,121373,2020
93,25393,69890,95283,2020
94,18209,55242,73451,2020
95,13171,42478,55649,2020
96,9311,32136,41447,2020
97,6123,23179,29302,2020
98,4007,16553,20560,2020
99,2529,10892,13421,2020
100,2332,12472,14804,2020
0,208412,196544,404956,2021
1,216969,206300,423269,2021
2,228106,215465,443571,2021
3,238741,225498,464239,2021
4,246617,233858,480475,2021
5,253592,239726,493318,2021
6,257712,243319,501031,2021
7,262489,247948,510437,2021
8,273619,258440,532059,2021
9,278649,262846,541495,2021
10,287198,269994,557192,2021
11,291582,274675,566257,2021
12,294561,278502,573063,2021
13,294772,277231,572003,2021
14,295760,277420,573180,2021
15,294449,275666,570115,2021
16,296085,278695,574780,2021
17,294149,275524,569673,2021
18,292774,273389,566163,2021
19,299358,276924,576282,2021
20,309949,282960,592909,2021
21,308471,279574,588045,2021
22,313052,280705,593757,2021
23,309342,281499,590841,2021
24,308686,283102,591788,2021
25,306234,282947,589181,2021
26,306729,287493,594222,2021
27,310129,294211,604340,2021
28,323025,307046,630071,2021
29,320148,307617,627765,2021
30,327009,313564,640573,2021
31,323860,315642,639502,2021
32,331960,323448,655408,2021
33,324988,318664,643652,2021
34,326070,320941,647011,2021
35,335245,332033,667278,2021
36,342289,338839,681128,2021
37,348579,345027,693606,2021
38,359901,358229,718130,2021
39,361515,361595,723110,2021
40,372215,369202,741417,2021
41,381514,382824,764338,2021
42,402265,402664,804929,2021
43,413967,417088,831055,2021
44,431541,435290,866831,2021
45,451779,456301,908080,2021
46,469477,474653,944130,2021
47,465176,472837,938013,2021
48,470361,476386,946747,2021
49,472664,482867,955531,2021
50,468171,478082,946253,2021
51,479429,491151,970580,2021
52,474659,487595,962254,2021
53,475015,490597,965612,2021
54,479767,493209,972976,2021
55,477592,492347,969939,2021
56,482300,498964,981264,2021
57,449183,470280,919463,2021
58,431452,454905,886357,2021
59,420581,446361,866942,2021
60,405934,432200,838134,2021
61,394296,421054,815350,2021
62,373824,402963,776787,2021
63,368091,398570,766661,2021
64,359064,390100,749164,2021
65,350200,382732,732932,2021
66,342178,376946,719124,2021
67,325411,357196,682607,2021
68,319361,353270,672631,2021
69,315798,351241,667039,2021
70,324134,362392,686526,2021
71,322436,362533,684969,2021
72,331255,377092,708347,2021
73,319265,365772,685037,2021
74,312420,363872,676292,2021
75,235648,278760,514408,2021
76,236450,284553,521003,2021
77,230615,285333,515948,2021
78,222215,279972,502187,2021
79,215706,277958,493664,2021
80,227503,300257,527760,2021
81,214560,288098,502658,2021
82,195982,272579,468561,2021
83,169321,243701,413022,2021
84,145752,220210,365962,2021
85,136315,213540,349855,2021
86,118356,195261,313617,2021
87,101657,175772,277429,2021
88,84718,157267,241985,2021
89,72167,141049,213216,2021
90,61359,130133,191492,2021
91,45462,103024,148486,2021
92,34525,85660,120185,2021
93,26278,70004,96282,2021
94,18570,54643,73213,2021
95,12913,41947,54860,2021
96,9066,31227,40293,2021
97,6167,22849,29016,2021
98,3998,16115,20113,2021
99,2526,11109,13635,2021
100,2847,14330,17177,2021
0,205371,195255,400626,2022
1,209824,197810,407634,2022
2,217987,207196,425183,2022
3,228694,215944,444638,2022
4,239183,225570,464753,2022
5,245640,233044,478684,2022
6,252296,238523,490819,2022
7,260055,245536,505591,2022
8,263845,249119,512964,2022
9,275299,259960,535259,2022
10,280091,264218,544309,2022
11,288645,271368,560013,2022
12,292919,275957,568876,2022
13,295957,279801,575758,2022
14,296180,278508,574688,2022
15,297220,278674,575894,2022
16,295963,276845,572808,2022
17,299478,280939,580417,2022
18,295158,274550,569708,2022
19,294218,273072,567290,2022
20,299483,276153,575636,2022
21,307995,280508,588503,2022
22,306585,276923,583508,2022
23,310871,277904,588775,2022
24,307450,279469,586919,2022
25,307226,281322,588548,2022
26,304818,281629,586447,2022
27,306056,286744,592800,2022
28,309781,293909,603690,2022
29,322737,307123,629860,2022
30,320462,307805,628267,2022
31,327385,314003,641388,2022
32,324501,315916,640417,2022
33,333154,323709,656863,2022
34,325923,318791,644714,2022
35,327214,321096,648310,2022
36,336526,332206,668732,2022
37,343183,338992,682175,2022
38,349548,345105,694653,2022
