Età,Sesso,2020,2021,2022,2023,2024
0,Maschi,212756,208412,205371,203086,195688
0,Femmine,202218,196544,195255,190834,184942
0,Totale,414974,404956,400626,393920,380630
1,Maschi,224617,216969,209824,207218,204738
1,Femmine,212168,206300,197810,197034,192455
1,Totale,436785,423269,407634,404252,397193
10,Maschi,289596,287198,280091,276385,266331
10,Femmine,273168,269994,264218,260983,251495
10,Totale,562764,557192,544309,537368,517826
100 e oltre,Maschi,2332,2847,3287,3454,3600
100 e oltre,Femmine,12472,14330,16427,16991,17611
100 e oltre,Totale,14804,17177,19714,20445,21211
11,Maschi,292556,291582,288645,281120,277888
11,Femmine,276781,274675,271368,265099,262271
11,Totale,569337,566257,560013,546219,540159
12,Maschi,292641,294561,292919,289714,282542
12,Femmine,275384,278502,275957,272242,266330
12,Totale,568025,573063,568876,561956,548872
13,Maschi,293544,294772,295957,294025,291214
13,Femmine,275519,277231,279801,276869,273403
13,Totale,569063,572003,575758,570894,564617
14,Maschi,292112,295760,296180,297185,295569
14,Femmine,273759,277420,278508,280786,278076
14,Totale,565871,573180,574688,577971,573645
15,Maschi,294506,294449,297220,297394,298883
15,Femmine,277704,275666,278674,279486,282062
15,Totale,572210,570115,575894,576880,580945
16,Maschi,292771,296085,295963,298845,299700
16,Femmine,275235,278695,276845,279547,280540
16,Totale,568006,574780,572808,578392,580240
17,Maschi,291807,294149,299478,298641,302297
17,Femmine,273582,275524,280939,277701,280729
17,Totale,565389,569673,580417,576342,583026
18,Maschi,298000,292774,295158,304193,304333
18,Femmine,276707,273389,274550,282146,279127
18,Totale,574707,566163,569708,586339,583460
19,Maschi,308381,299358,294218,300052,309963
19,Femmine,282363,276924,273072,277103,283627
19,Totale,590744,576282,567290,577155,593590
2,Maschi,235153,228106,217987,211696,208930
2,Femmine,222161,215465,207196,199551,198642
2,Totale,457314,443571,425183,411247,407572
20,Maschi,308189,309949,299483,298116,304996
20,Femmine,279269,282960,276153,275666,278991
20,Totale,587458,592909,575636,573782,583987
21,Maschi,313182,308471,307995,303004,302673
21,Femmine,279835,279574,280508,278844,277626
21,Totale,593017,588045,588503,581848,580299
22,Maschi,309970,313052,306585,311847,306574
22,Femmine,281029,280705,276923,283874,280348
22,Totale,590999,593757,583508,595721,586922
23,Maschi,309688,309342,310871,310412,315925
23,Femmine,283094,281499,277904,280399,285778
23,Totale,592782,590841,588775,590811,601703
24,Maschi,307991,308686,307450,314704,314636
24,Femmine,283641,283102,279469,281478,282812
24,Totale,591632,591788,586919,596182,597448
25,Maschi,309378,306234,307226,311008,319013
25,Femmine,289242,282947,281322,282940,283771
25,Totale,598620,589181,588548,593948,602784
26,Maschi,313758,306729,304818,310911,314881
26,Femmine,296568,287493,281629,284846,285002
26,Totale,610326,594222,586447,595757,599883
27,Maschi,326635,310129,306056,308660,314955
27,Femmine,310107,294211,286744,285302,287166
27,Totale,636742,604340,592800,593962,602121
28,Maschi,324590,323025,309781,309963,312534
28,Femmine,310423,307046,293909,290555,287713
28,Totale,635013,630071,603690,600518,600247
29,Maschi,331083,320148,322737,313746,314071
29,Femmine,316710,307617,307123,297739,293105
29,Totale,647793,627765,629860,611485,607176
3,Maschi,242107,238741,228694,219719,213459
3,Femmine,229589,225498,215944,208732,201122
3,Totale,471696,464239,444638,428451,414581
30,Maschi,328034,327009,320462,326788,317807
30,Femmine,318718,313564,307805,311199,300228
30,Totale,646752,640573,628267,637987,618035
31,Maschi,335493,323860,327385,324287,330824
31,Femmine,326158,315642,314003,311646,313830
31,Totale,661651,639502,641388,635933,644654
32,Maschi,327947,331960,324501,331268,327835
32,Femmine,321148,323448,315916,317678,314038
32,Totale,649095,655408,640417,648946,641873
33,Maschi,329109,324988,333154,327973,335148
33,Femmine,323293,318664,323709,319514,320205
33,Totale,652402,643652,656863,647487,655353
34,Maschi,338166,326070,325923,336528,331675
34,Femmine,334375,320941,318791,327242,321747
34,Totale,672541,647011,644714,663770,653422
35,Maschi,344557,335245,327214,329133,340250
35,Femmine,340457,332033,321096,322167,329595
35,Totale,685014,667278,648310,651300,669845
36,Maschi,350372,342289,336526,329835,332219
36,Femmine,346606,338839,332206,324401,324559
36,Totale,696978,681128,668732,654236,656778
37,Maschi,361476,348579,343183,338960,332853
37,Femmine,359300,345027,338992,335336,326604
37,Totale,720776,693606,682175,674296,659457
38,Maschi,363000,359901,349548,345431,341770
38,Femmine,362693,358229,345105,341933,337568
38,Totale,725693,718130,694653,687364,679338
39,Maschi,373576,361515,361018,351542,347859
39,Femmine,370154,361595,357984,347925,343824
39,Totale,743730,723110,719002,699467,691683
4,Maschi,248565,246617,239183,230081,221288
4,Femmine,235204,233858,225570,217293,210212
4,Totale,483769,480475,464753,447374,431500
40,Maschi,383170,372215,362241,362798,353623
40,Femmine,383701,369202,361207,360668,349773
40,Totale,766871,741417,723448,723466,703396
41,Maschi,403881,381514,372928,363755,364746
41,Femmine,403611,382824,369016,363732,362336
41,Totale,807492,764338,741944,727487,727082
42,Maschi,415526,402265,382441,374326,365493
42,Femmine,417680,402664,382644,371342,365254
42,Totale,833206,804929,765085,745668,730747
43,Maschi,433364,413967,403045,383399,375778
43,Femmine,436100,417088,402520,385004,372880
43,Totale,869464,831055,805565,768403,748658
44,Maschi,453257,431541,414855,403869,384578
44,Femmine,457174,435290,417187,404671,386392
44,Totale,910431,866831,832042,808540,770970
45,Maschi,471358,451779,432706,415445,405094
45,Femmine,475833,456301,435229,419171,406122
45,Totale,947191,908080,867935,834616,811216
46,Maschi,467247,469477,452800,433164,416439
46,Femmine,474137,474653,456347,437072,420285
46,Totale,941384,944130,909147,870236,836724
47,Maschi,472445,465176,470567,453026,433727
47,Femmine,477972,472837,474641,458033,438351
47,Totale,950417,938013,945208,911059,872078
48,Maschi,474990,470361,466435,470558,453538
48,Femmine,484718,476386,473075,476322,459117
48,Totale,959708,946747,939510,946880,912655
49,Maschi,470760,472664,471355,466458,470974
49,Femmine,480305,482867,476715,474728,477197
49,Totale,951065,955531,948070,941186,948171
5,Maschi,256796,253592,245640,240388,231752
5,Femmine,242348,239726,233044,226752,218688
5,Totale,499144,493318,478684,467140,450440
50,Maschi,482299,468171,473646,471103,466626
50,Femmine,494026,478082,483171,478132,475508
50,Totale,976325,946253,956817,949235,942134
51,Maschi,478051,479429,469300,473237,471116
51,Femmine,490930,491151,478407,484471,478896
51,Totale,968981,970580,947707,957708,950012
52,Maschi,478289,474659,480540,468571,473088
52,Femmine,494239,487595,491553,479621,485090
52,Totale,972528,962254,972093,948192,958178
53,Maschi,483736,475015,475775,479794,468230
53,Femmine,497079,490597,487952,492654,479854
53,Totale,980815,965612,963727,972448,948084
54,Maschi,481769,479767,476000,474908,479187
54,Femmine,496286,493209,490893,488974,492932
54,Totale,978055,972976,966893,963882,972119
55,Maschi,486783,477592,481069,474832,474087
55,Femmine,503388,492347,493808,491849,489034
55,Totale,990171,969939,974877,966681,963121
56,Maschi,453415,482300,478662,479716,473883
56,Femmine,474410,498964,492768,494413,491676
56,Totale,927825,981264,971430,974129,965559
57,Maschi,436116,449183,483300,477089,478649
57,Femmine,459353,470280,499325,493124,494278
57,Totale,895469,919463,982625,970213,972927
58,Maschi,425668,431452,449809,481573,475770
58,Femmine,450711,454905,470176,499748,492722
58,Totale,876379,886357,919985,981321,968492
59,Maschi,411026,420581,431801,447787,479751
59,Femmine,436621,446361,454417,470470,499138
59,Totale,847647,866942,886218,918257,978889
6,Maschi,260833,257712,252296,247005,241613
6,Femmine,246458,243319,238523,234312,227751
6,Totale,507291,501031,490819,481317,469364
60,Maschi,399772,405934,420605,429758,445861
60,Femmine,425767,432200,445450,454591,469662
60,Totale,825539,838134,866055,884349,915523
61,Maschi,379385,394296,405827,418279,427730
61,Femmine,407946,421054,430828,445337,453553
61,Totale,787331,815350,836655,863616,881283
62,Maschi,374272,373824,393855,403523,416061
62,Femmine,403219,402963,419315,430584,444128
62,Totale,777491,776787,813170,834107,860189
63,Maschi,365197,368091,373144,391182,401180
63,Femmine,394534,398570,400873,418597,429136
63,Totale,759731,766661,774017,809779,830316
64,Maschi,356296,359064,367086,370180,388370
64,Femmine,386962,390100,396301,400259,417065
64,Totale,743258,749164,763387,770439,805435
65,Maschi,348378,350200,357674,363931,367172
65,Femmine,381206,382732,387503,395446,398413
65,Totale,729584,732932,745177,759377,765585
66,Maschi,331878,342178,348305,354269,360685
66,Femmine,361610,376946,379960,386248,393327
66,Totale,693488,719124,728265,740517,754012
67,Maschi,323404,325411,339780,344662,350799
67,Femmine,356098,357196,373354,378252,383711
67,Totale,679502,682607,713134,722914,734510
68,Maschi,320057,319361,323307,335934,340770
68,Femmine,353899,353270,354570,371628,375749
68,Totale,673956,672631,677877,707562,716519
