Età,Sesso,Anno,Totale
0,Maschi,2002,268276.0
0,Femmine,2002,254731.0
1,Maschi,2002,271976.0
1,Femmine,2002,257257.0
10,Maschi,2002,291170.0
10,Femmine,2002,275204.0
11,Maschi,2002,293330.0
11,Femmine,2002,278439.0
12,Maschi,2002,288266.0
12,Femmine,2002,274015.0
13,Maschi,2002,290996.0
13,Femmine,2002,274955.0
14,Maschi,2002,279971.0
14,Femmine,2002,264790.0
15,Maschi,2002,286758.0
15,Femmine,2002,272254.0
16,Maschi,2002,295986.0
16,Femmine,2002,282370.0
17,Maschi,2002,300400.0
17,Femmine,2002,285701.0
18,Maschi,2002,308834.0
18,Femmine,2002,292943.0
19,Maschi,2002,320091.0
19,Femmine,2002,306107.0
2,Maschi,2002,270620.0
2,Femmine,2002,257511.0
20,Maschi,2002,323918.0
20,Femmine,2002,311733.0
21,Maschi,2002,331241.0
21,Femmine,2002,319016.0
22,Maschi,2002,341392.0
22,Femmine,2002,330636.0
23,Maschi,2002,359526.0
23,Femmine,2002,348868.0
24,Maschi,2002,372477.0
24,Femmine,2002,364365.0
25,Maschi,2002,393202.0
25,Femmine,2002,385996.0
26,Maschi,2002,417331.0
26,Femmine,2002,411288.0
27,Maschi,2002,435484.0
27,Femmine,2002,429526.0
28,Maschi,2002,437208.0
28,Femmine,2002,432426.0
29,Maschi,2002,444829.0
29,Femmine,2002,438839.0
3,Maschi,2002,266706.0
3,Femmine,2002,252084.0
30,Maschi,2002,452979.0
30,Femmine,2002,447945.0
31,Maschi,2002,448928.0
31,Femmine,2002,444238.0
32,Maschi,2002,463220.0
32,Femmine,2002,458147.0
33,Maschi,2002,456815.0
33,Femmine,2002,451097.0
34,Maschi,2002,459019.0
34,Femmine,2002,455802.0
35,Maschi,2002,473799.0
35,Femmine,2002,470041.0
36,Maschi,2002,474668.0
36,Femmine,2002,471821.0
37,Maschi,2002,481113.0
37,Femmine,2002,477379.0
38,Maschi,2002,452721.0
38,Femmine,2002,453404.0
39,Maschi,2002,438786.0
39,Femmine,2002,440985.0
4,Maschi,2002,264829.0
4,Femmine,2002,251128.0
40,Maschi,2002,432370.0
40,Femmine,2002,435359.0
41,Maschi,2002,418288.0
41,Femmine,2002,422817.0
42,Maschi,2002,409871.0
42,Femmine,2002,411070.0
43,Maschi,2002,391514.0
43,Femmine,2002,393856.0
44,Maschi,2002,387490.0
44,Femmine,2002,390625.0
45,Maschi,2002,383939.0
45,Femmine,2002,389134.0
46,Maschi,2002,378601.0
46,Femmine,2002,385440.0
47,Maschi,2002,373714.0
47,Femmine,2002,382686.0
48,Maschi,2002,360223.0
48,Femmine,2002,366465.0
49,Maschi,2002,357894.0
49,Femmine,2002,367808.0
5,Maschi,2002,268123.0
5,Femmine,2002,253760.0
50,Maschi,2002,358245.0
50,Femmine,2002,370295.0
51,Maschi,2002,373760.0
51,Femmine,2002,386595.0
52,Maschi,2002,376649.0
52,Femmine,2002,386417.0
53,Maschi,2002,394008.0
53,Femmine,2002,405554.0
54,Maschi,2002,386053.0
54,Femmine,2002,397265.0
55,Maschi,2002,387731.0
55,Femmine,2002,402793.0
56,Maschi,2002,303624.0
56,Femmine,2002,316897.0
57,Maschi,2002,311363.0
57,Femmine,2002,326841.0
58,Maschi,2002,315356.0
58,Femmine,2002,334764.0
59,Maschi,2002,314309.0
59,Femmine,2002,337080.0
6,Maschi,2002,268085.0
6,Femmine,2002,253689.0
60,Maschi,2002,317142.0
60,Femmine,2002,342897.0
61,Maschi,2002,349088.0
61,Femmine,2002,379810.0
62,Maschi,2002,345216.0
62,Femmine,2002,373870.0
63,Maschi,2002,333879.0
63,Femmine,2002,364927.0
64,Maschi,2002,307731.0
64,Femmine,2002,340237.0
65,Maschi,2002,292289.0
65,Femmine,2002,329638.0
66,Maschi,2002,298656.0
66,Femmine,2002,339492.0
67,Maschi,2002,287723.0
67,Femmine,2002,332287.0
68,Maschi,2002,280088.0
68,Femmine,2002,327011.0
69,Maschi,2002,268085.0
69,Femmine,2002,322080.0
7,Maschi,2002,269530.0
7,Femmine,2002,255399.0
70,Maschi,2002,266650.0
70,Femmine,2002,326356.0
71,Maschi,2002,270106.0
71,Femmine,2002,338662.0
72,Maschi,2002,242350.0
72,Femmine,2002,308947.0
73,Maschi,2002,232157.0
73,Femmine,2002,304100.0
74,Maschi,2002,221866.0
74,Femmine,2002,297974.0
75,Maschi,2002,206836.0
75,Femmine,2002,289731.0
76,Maschi,2002,195484.0
76,Femmine,2002,283492.0
77,Maschi,2002,182007.0
77,Femmine,2002,272342.0
78,Maschi,2002,170675.0
78,Femmine,2002,266140.0
79,Maschi,2002,155308.0
79,Femmine,2002,255925.0
8,Maschi,2002,276926.0
8,Femmine,2002,262711.0
80,Maschi,2002,140864.0
80,Femmine,2002,243600.0
81,Maschi,2002,130286.0
81,Femmine,2002,229180.0
82,Maschi,2002,78010.0
82,Femmine,2002,140926.0
83,Maschi,2002,54136.0
83,Femmine,2002,101434.0
84,Maschi,2002,51311.0
84,Femmine,2002,98414.0
85,Maschi,2002,57260.0
85,Femmine,2002,113611.0
86,Maschi,2002,63204.0
86,Femmine,2002,131070.0
87,Maschi,2002,55684.0
87,Femmine,2002,119013.0
88,Maschi,2002,48619.0
88,Femmine,2002,106928.0
89,Maschi,2002,39876.0
89,Femmine,2002,93168.0
9,Maschi,2002,288501.0
