Età,Anno,Totale femmine,Totale maschi,Totale
0,2025,29492,204019,233511
1,2025,29492,204123,233615
2,2025,29492,204528,234020
3,2025,29492,205320,234812
4,2025,29492,205320,234812
5,2025,29492,205320,234812
6,2025,29492,205320,234812
7,2025,29492,205320,234812
8,2025,29492,205320,234812
9,2025,29492,205320,234812
10,2025,29492,205320,234812
11,2025,29492,205320,234812
12,2025,29492,205320,234812
13,2025,29492,205320,234812
14,2025,29492,205320,234812
15,2025,29492,205320,234812
16,2025,29492,205320,234812
17,2025,29492,205320,234812
18,2025,29492,205320,234812
19,2025,29492,205320,234812
20,2025,29492,205320,234812
21,2025,29492,205320,234812
22,2025,29492,205320,234812
23,2025,29492,205320,234812
24,2025,29492,205320,234812
25,2025,29492,205320,234812
26,2025,29492,205320,234812
27,2025,29492,205320,234812
28,2025,29492,205320,234812
29,2025,29492,205320,234812
30,2025,29492,205320,234812
31,2025,29492,205320,234812
32,2025,29492,205320,234812
33,2025,29492,205320,234812
34,2025,29492,205320,234812
35,2025,29492,205320,234812
36,2025,29492,205320,234812
37,2025,29492,205320,234812
38,2025,29492,205320,234812
39,2025,29762,205320,235082
40,2025,29762,205320,235082
41,2025,29762,205320,235082
42,2025,29762,205320,235082
43,2025,29762,205320,235082
44,2025,29762,205320,235082
45,2025,29762,205320,235082
46,2025,29762,205320,235082
47,2025,29762,205320,235082
48,2025,29762,205320,235082
49,2025,29762,205320,235082
50,2025,29762,205320,235082
51,2025,29762,205320,235082
52,2025,29762,205320,235082
53,2025,29762,205320,235082
54,2025,29762,205320,235082
55,2025,29762,205320,235082
56,2025,29762,205320,235082
57,2025,29762,205320,235082
58,2025,29762,205320,235082
59,2025,29762,205320,235082
60,2025,29762,205320,235082
61,2025,29762,205320,235082
62,2025,29762,205320,235082
63,2025,29762,205320,235082
64,2025,29762,205320,235082
65,2025,29762,205320,235082
66,2025,29762,205320,235082
67,2025,29762,205320,235082
68,2025,29762,205320,235082
69,2025,29762,205320,235082
70,2025,29762,205758,235520
71,2025,29762,209890,239652
72,2025,29762,232254,262016
73,2025,29762,232497,262259
74,2025,29762,231884,261646
75,2025,29762,228876,258638
76,2025,29762,222749,252511
77,2025,29762,208800,238562
78,2025,29762,158294,188056
79,2025,29762,48710,78472
80,2025,29762,11777,41539
81,2025,29222,956,30178
82,2025,29007,956,29963
83,2025,28726,956,29682
84,2025,28450,956,29406
85,2025,8946,956,9902
86,2025,8946,956,9902
87,2025,8946,956,9902
