Età,Sesso,2025,2026,2027,2028,2029,2030
0,Femmine,177895.63,174970.25,170549.28,164657.3,157611.62,154686.25
0,Maschi,194012.93,196843.19,194558.2,187160.2,185481.87,188312.14
1,Femmine,193422.94,196440.75,195664.73,191085.72,192054.88,195072.68
1,Maschi,202005.8,199259.64,196653.61,194173.59,191441.7,188695.54
2,Femmine,197544.56,183184.26,175539.18,174630.1,173529.57,159169.27
2,Maschi,202674.38,192859.58,186568.59,183802.6,177546.19,167731.39
3,Femmine,198931.68,192133.63,184921.52,177311.41,175121.1,168323.06
3,Maschi,209752.87,198124.36,189149.36,182889.37,179183.95,167555.43
4,Femmine,208527.52,199074.74,190797.77,183716.8,182031.89,172579.1
4,Maschi,217855.27,208431.98,199329.97,190536.97,187104.7,177681.41
5,Femmine,215245.07,210718.16,204426.1,196362.05,192921.2,188394.29
5,Maschi,223790.57,221923.09,216670.99,208034.89,200072.71,198205.23
6,Femmine,228553.4,226695.0,222484.02,215923.03,216721.97,214863.57
6,Maschi,242008.45,236852.2,231561.19,226169.18,226564.78,221408.53
7,Femmine,222700.98,214966.01,209004.08,204799.16,192130.25,184395.28
7,Maschi,235418.79,227796.02,221317.94,216034.87,203162.85,195540.08
8,Femmine,240593.0,241238.68,238685.58,232937.48,232711.79,233357.47
8,Maschi,255408.57,256222.2,253541.17,247377.14,247786.85,248600.48
9,Femmine,241282.75,235130.65,229447.53,224239.68,218443.26,212291.16
9,Maschi,254091.57,246841.31,240560.81,235256.69,227600.77,220350.5
10,Femmine,245595.62,241353.67,235531.6,228120.37,221572.77,217330.82
10,Maschi,260240.03,254831.51,248260.96,240519.74,233702.8,228294.27
11,Femmine,255881.27,246197.26,239928.26,237100.27,230706.84,221022.83
11,Maschi,268706.84,256881.83,249356.74,246124.65,236946.36,225121.34
12,Femmine,265173.68,263631.05,259916.07,254004.09,252850.29,251307.65
12,Maschi,279724.81,280499.7,277294.71,270122.72,267306.82,268081.71
13,Femmine,270220.22,267911.12,264979.15,261513.19,258332.03,256022.93
13,Maschi,288160.69,287026.14,285094.04,282282.95,279227.29,278092.74
14,Femmine,284817.6,292054.07,294332.07,291622.08,298368.33,305604.79
14,Maschi,301001.3,304591.59,305596.65,303980.71,309413.07,313003.37
15,Femmine,278789.05,277866.85,278678.91,281254.96,277982.16,277059.95
15,Maschi,297311.97,296186.4,296360.31,297849.22,296279.3,295153.72
16,Femmine,283122.0,287589.65,290291.65,291284.66,293864.16,298331.81
16,Maschi,303491.33,308366.75,311248.72,312103.69,315896.26,320771.69
17,Femmine,281391.15,284265.22,285361.2,284683.85,286592.44,289466.52
17,Maschi,298112.51,292787.78,291950.74,295606.68,291418.01,286093.28
18,Femmine,280109.36,287678.36,291375.72,291193.28,291401.19,298970.19
18,Maschi,313632.82,331547.34,340582.36,340722.36,350018.52,367933.04
19,Femmine,283453.13,284966.6,288997.56,295521.51,295347.16,296860.62
19,Maschi,309007.07,310770.2,316604.21,326515.21,325557.42,327320.55
20,Femmine,285200.26,280905.52,280418.47,283743.41,289953.8,285659.07
20,Maschi,314817.76,305210.2,303843.21,310723.21,320540.79,310933.24
21,Femmine,275003.86,272934.39,271270.47,270052.54,267429.58,265360.11
21,Maschi,293446.82,283795.54,278804.54,278473.54,269247.32,259596.04
22,Femmine,279360.13,280144.1,280677.47,280954.83,279195.2,279979.17
22,Maschi,310152.37,308070.9,306718.58,306091.59,308404.67,306323.2
23,Femmine,288135.2,287757.43,290252.45,295631.46,297989.06,297611.3
23,Maschi,315800.97,309374.82,308915.83,314428.83,314305.27,307879.13
24,Femmine,288054.58,290843.31,292852.09,294185.86,299428.22,302216.95
24,Maschi,320491.53,326055.65,330033.32,332415.1,337562.1,343126.22
25,Femmine,282058.05,284496.66,286114.55,286945.44,285234.19,287672.8
25,Maschi,328859.19,328438.89,332220.9,340225.91,350073.42,349653.12
26,Femmine,288233.58,294509.14,297726.15,297882.17,301112.25,307387.8
26,Maschi,320161.65,328350.32,334443.41,338413.5,343698.54,351887.2
27,Femmine,273146.08,268374.57,266932.61,268796.65,254774.04,250002.53
27,Maschi,301484.37,300405.96,303009.95,309304.94,295833.39,294754.99
28,Femmine,289212.53,285389.1,282035.06,279193.03,280693.67,276870.23
28,Maschi,321280.92,319018.96,319200.94,321771.92,330518.15,328256.18
29,Femmine,271612.95,257485.3,248101.32,243467.35,221981.86,207854.21
29,Maschi,297158.95,291213.67,286770.51,283834.19,267814.3,261869.02
30,Femmine,294855.08,293736.88,290031.01,283731.11,277249.04,276130.84
30,Maschi,319476.08,321088.4,319830.79,315698.17,316276.13,317888.45
31,Femmine,299165.39,292262.59,289905.59,292089.59,277422.6,270519.8
31,Maschi,315264.83,312962.21,313660.79,317365.7,302608.65,300306.03
32,Femmine,317925.87,314249.86,312022.48,311236.76,314330.43,310654.43
32,Maschi,334062.37,333531.42,333675.26,334489.47,339709.07,339178.11
33,Femmine,321569.62,324110.0,324045.68,321384.86,323825.77,326366.15
33,Maschi,330314.64,334895.89,336919.49,336386.38,334627.52,339208.77
34,Femmine,312695.63,318716.78,321079.21,319772.24,309654.15,315675.3
34,Maschi,325333.94,334728.73,339146.93,338577.91,331150.28,340545.07
35,Femmine,329303.14,324009.48,325080.45,332508.43,332217.04,326923.38
35,Maschi,336520.22,329247.0,331166.0,342282.98,338541.41,331268.2
36,Femmine,324624.97,308890.97,301086.08,301244.17,301305.72,285571.73
36,Maschi,333750.78,317986.05,311295.08,313679.12,315212.78,299448.05
37,Femmine,314746.56,316137.78,312481.63,303749.49,291897.99,293289.21
37,Maschi,322976.5,320611.64,316388.68,310281.72,300403.75,298038.9
38,Femmine,341374.44,339445.04,336273.05,331908.07,335713.4,333784.01
38,Maschi,345973.09,341370.3,337253.28,333592.27,337795.28,333192.49
39,Femmine,334606.22,328789.1,322378.27,315384.98,307063.82,301246.7
39,Maschi,336624.84,333518.24,328369.8,321187.5,311065.87,307959.27
40,Femmine,351896.73,361677.56,361138.57,350243.59,352373.04,362153.87
40,Maschi,357381.77,367652.99,368210.07,359035.15,362788.35,373059.57
41,Femmine,352839.06,343686.2,338402.26,337006.33,327507.83,318354.96
41,Maschi,352533.2,333217.59,324044.46,325035.33,312825.3,293509.69
42,Femmine,354080.26,337568.45,326266.43,320178.4,308996.71,292484.91
42,Maschi,362895.7,355541.95,347426.74,338593.53,335999.17,328645.41
43,Femmine,362728.7,339841.29,322325.25,310201.2,300044.56,277157.15
43,Maschi,354725.26,340417.72,326821.32,313943.04,294655.94,280348.4
44,Femmine,367954.1,361157.42,348641.25,330362.07,311922.08,305125.4
44,Maschi,372183.66,369479.69,358493.7,339202.71,326809.78,324105.81
45,Femmine,380713.87,361585.83,345527.68,332478.53,307071.14,287943.11
45,Maschi,375757.32,351600.74,334339.72,323988.7,294655.6,270499.01
46,Femmine,412719.4,390983.97,371709.18,354922.39,347353.95,325618.52
46,Maschi,412263.68,389718.33,370082.31,353357.29,349186.82,326641.47
47,Femmine,419558.76,405977.15,389369.21,369687.26,350901.18,337319.58
47,Maschi,407886.89,392086.21,374545.29,355246.37,329406.94,313606.26
48,Femmine,443876.66,444244.64,439706.87,430253.0,412172.84,412540.82
48,Maschi,453302.94,453167.23,448938.55,440612.22,437084.52,436948.81
49,Femmine,482037.37,475661.54,473674.63,476143.72,480980.26,474604.43
49,Maschi,474592.13,460293.39,455396.41,459912.43,463530.3,449231.55
50,Femmine,447200.72,439876.94,434838.1,432214.26,403902.3,396578.53
50,Maschi,445448.2,444801.45,442258.44,437781.43,416604.07,415957.31
51,Femmine,483310.31,479823.07,477981.44,477776.25,480795.99,477308.75
51,Maschi,476765.85,473444.92,472524.04,473989.89,478605.71,475284.78
52,Femmine,477061.75,474934.2,472851.78,470821.26,465012.52,462884.97
52,Maschi,466563.31,466608.5,464627.58,460625.97,456957.06,457002.25
53,Femmine,472196.15,473289.23,470774.92,464643.2,454660.22,455753.29
53,Maschi,455177.98,459001.04,457504.06,450671.26,436061.26,439884.32
54,Femmine,498500.71,490716.1,488797.13,492755.17,498312.45,490527.84
54,Maschi,475189.1,468752.58,467660.63,471939.67,467934.84,461498.32
55,Femmine,464006.08,462905.77,460946.63,458131.49,433103.81,432003.5
55,Maschi,485152.16,480259.97,481070.62,487587.35,491755.97,486863.77
56,Femmine,516833.1,522830.83,524475.43,521738.04,546897.6,552895.33
56,Maschi,488424.8,496372.59,497426.64,491593.69,506136.39,514084.19
57,Femmine,492596.0,502600.0,505327.24,500786.34,500504.0,510508.0
57,Maschi,479296.94,492327.08,496569.08,492029.99,493999.77,507029.91
58,Femmine,503831.32,525375.07,540176.49,548229.12,553844.54,575388.29
58,Maschi,487549.49,512329.72,529182.01,538099.38,544693.82,569474.05
59,Femmine,525539.12,528992.2,545045.15,573713.1,600108.86,603561.94
59,Maschi,501938.67,501966.98,517953.0,549917.05,572123.27,572151.57
