Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
0,Femmine,181177.1,178373.27,173952.0,168059.73,164298.03,161494.21,157072.94,151180.67,147418.97,144615.14
0,Maschi,193956.73,196743.04,194457.94,187059.83,185327.39,188113.7,185828.6,178430.49,176698.05,179484.36
1,Femmine,190723.72,189375.53,186934.96,183392.83,181386.51,180038.32,177597.75,174055.62,172049.3,170701.11
1,Maschi,200398.32,197668.66,195062.62,192582.58,188244.95,185515.28,182909.24,180429.2,176091.57,173361.9
2,Femmine,192610.41,185790.69,180471.23,176655.82,171736.18,164916.47,159597.01,155781.6,150861.96,144042.25
2,Maschi,202817.42,193023.11,186732.09,183966.07,177848.54,168054.24,161763.22,158997.2,152879.67,143085.36
3,Femmine,192650.14,184421.39,176856.84,169959.14,161086.59,152857.85,145293.3,138395.6,129523.05,121294.3
3,Maschi,206226.75,197125.89,189299.04,182751.73,175308.93,166208.07,158381.23,151833.91,144391.12,135290.25
4,Femmine,208025.25,198502.77,190225.81,183144.85,180956.45,171433.96,163157.01,156076.05,153887.64,144365.16
4,Maschi,217826.53,208419.06,199316.95,190523.84,187061.12,177653.65,168551.54,159758.43,156295.7,146888.24
5,Femmine,215232.68,208545.01,201829.66,195094.73,190908.6,184220.93,177505.58,170770.65,166584.53,159896.85
5,Maschi,228597.31,221729.78,215232.5,209111.06,204720.64,197853.11,191355.83,185234.38,180843.97,173976.43
6,Femmine,224032.71,219589.77,214492.96,208726.52,204793.63,200350.68,195253.87,189487.44,185554.54,181111.6
6,Maschi,239456.58,234128.05,228837.42,223445.79,221288.47,215959.94,210669.31,205277.68,203120.36,197791.83
7,Femmine,226014.62,218267.38,212305.39,208100.41,198747.29,191000.04,185038.06,180833.07,171479.95,163732.71
7,Maschi,239205.44,231564.92,225086.83,219803.73,210714.93,203074.42,196596.32,191313.23,182224.43,174583.91
8,Femmine,244375.54,244931.67,242378.62,236630.56,240188.21,240744.34,238191.29,232443.24,236000.89,236557.01
8,Maschi,257310.48,258053.54,255372.58,249208.62,251519.56,252262.62,249581.67,243417.71,245728.65,246471.71
9,Femmine,240478.66,234285.18,228497.33,223126.43,216573.03,210379.55,204591.7,199220.8,192667.4,186473.92
9,Maschi,253822.78,246544.74,240193.36,234780.82,226876.02,219597.98,213246.6,207834.05,199929.26,192651.22
10,Femmine,248969.72,245462.73,239800.62,231961.34,228979.39,225472.39,219810.29,211971.01,208989.05,205482.06
10,Maschi,262718.11,257208.14,250656.08,243043.38,238623.19,233113.22,226561.16,218948.46,214528.27,209018.3
11,Femmine,253527.01,243816.49,237547.54,234719.56,225956.2,216245.68,209976.73,207148.75,198385.39,188674.87
11,Maschi,269992.11,263670.46,258042.94,253128.96,245722.44,239400.79,233773.27,228859.29,221452.77,215131.12
12,Femmine,264719.63,263176.12,259461.07,253549.03,251939.99,250396.48,246681.43,240769.39,239160.35,237616.84
12,Maschi,280008.77,274607.93,269471.68,264582.84,261171.27,255770.43,250634.18,245745.34,242333.77,236932.93
13,Femmine,270133.78,267889.07,264957.05,261491.02,258221.98,255977.28,253045.25,249579.23,246310.19,244065.48
13,Maschi,289835.96,288633.23,286701.48,283890.74,282512.21,281309.47,279377.72,276566.98,275188.45,273985.71
14,Femmine,279941.34,282980.48,283608.5,281809.3,283441.04,286480.18,287108.19,285308.99,286940.73,289979.87
14,Maschi,298704.66,302215.98,303221.0,301605.02,304739.71,308251.03,309256.06,307640.08,310774.77,314286.09
15,Femmine,276117.07,275176.36,275988.38,278564.4,272619.79,271679.07,272491.09,275067.11,269122.5,268181.79
15,Maschi,294466.33,293312.19,293486.13,294975.08,290560.87,289406.72,289580.67,291069.62,286655.4,285501.25
16,Femmine,286014.36,285605.82,286652.24,289134.64,294159.23,293750.7,294797.11,297279.51,302304.11,301895.57
16,Maschi,307275.14,306746.46,307918.99,310784.72,317698.78,317170.1,318342.63,321208.35,328122.42,327593.74
17,Femmine,281716.19,284178.81,285163.22,284680.91,286924.05,289386.68,290371.08,289888.78,292131.92,294594.55
17,Maschi,305609.81,309437.63,311487.39,311768.76,316614.76,320442.58,322492.34,322773.71,327619.71,331447.53
18,Femmine,277616.54,282700.16,285187.9,285069.0,283070.98,288154.6,290642.34,290523.43,288525.42,293609.03
18,Maschi,298870.65,302950.91,304469.4,303423.67,300720.28,304800.53,306319.02,305273.29,302569.9,306650.16
19,Femmine,283715.94,285262.26,289293.37,295817.48,295906.42,297452.74,301483.85,308007.96,308096.9,309643.22
19,Maschi,297335.25,297553.05,298991.2,301646.91,294057.77,294275.57,295713.72,298369.43,290780.29,290998.09
20,Femmine,285248.16,280978.2,280491.2,283816.21,290075.54,285805.59,285318.59,288643.59,294902.92,290632.97
20,Maschi,299878.69,297045.22,295362.34,294828.22,293077.62,290244.15,288561.27,288027.15,286276.55,283443.08
21,Femmine,275365.93,273349.63,271685.68,270467.73,268206.3,266190.0,264526.05,263308.1,261046.67,259030.37
21,Maschi,297061.66,295814.14,293656.92,290605.71,285813.66,284566.13,282408.91,279357.7,274565.65,273318.13
22,Femmine,279841.46,281601.26,282250.43,281779.23,280847.09,282606.89,283256.06,282784.86,281852.72,283612.52
22,Maschi,307438.15,308061.59,307343.43,305276.86,305036.23,305659.66,304941.5,302874.94,302634.31,303257.74
23,Femmine,287384.21,287010.39,289505.46,294884.54,296489.0,296115.18,298610.26,303989.33,305593.79,305219.97
23,Maschi,309267.38,307708.03,308933.4,312955.4,306736.0,305176.66,306402.03,310424.02,304204.63,302645.29
24,Femmine,288741.26,291529.63,293538.53,294872.43,300802.87,303591.24,305600.14,306934.04,312864.48,315652.85
24,Maschi,323969.48,324147.11,326347.72,330561.86,338787.95,338965.58,341166.19,345380.33,353606.42,353784.05
25,Femmine,281124.8,283555.0,285172.83,286003.66,283354.46,285784.66,287402.5,288233.33,285584.12,288014.32
25,Maschi,315263.57,316580.73,318375.69,320650.79,321389.68,322706.83,324501.79,326776.89,327515.78,328832.93
26,Femmine,271783.26,269152.71,265762.7,261609.41,252995.56,250365.0,246974.99,242821.7,234207.85,231577.3
26,Maschi,301703.14,301926.03,300812.28,298358.63,291767.94,291990.83,290877.08,288423.43,281832.74,282055.63
27,Femmine,275301.95,270538.49,269096.49,270960.49,259097.19,254333.73,252891.73,254755.73,242892.44,238128.97
27,Maschi,303341.12,302225.66,304829.62,311124.59,299513.15,298397.69,301001.65,307296.61,295685.17,294569.71
28,Femmine,293513.26,289537.25,286183.19,283341.13,289140.04,285164.02,281809.96,278967.9,284766.81,280790.8
28,Maschi,323493.68,321312.42,321494.35,324065.28,335042.2,332860.94,333042.87,335613.8,346590.72,344409.45
29,Femmine,285333.14,284059.83,278805.2,269573.77,263144.35,261871.04,256616.4,247384.97,240955.55,239682.24
29,Maschi,305799.57,305778.71,302590.37,296238.98,290083.67,290062.81,286874.47,280523.08,274367.78,274346.91
30,Femmine,292768.51,293251.61,291002.71,286011.91,275840.12,276323.22,274074.32,269083.52,258911.73,259394.83
30,Maschi,314511.26,316877.41,316390.22,313041.8,306990.34,309356.5,308869.3,305520.88,299469.42,301835.58
31,Femmine,307525.98,303236.5,301995.49,303801.36,297620.16,293330.68,292089.67,293895.54,287714.34,283424.86
31,Maschi,322689.09,321668.88,322753.6,325942.82,319116.2,318095.98,319180.71,322369.93,315543.3,314523.09
32,Femmine,318646.13,316487.39,314592.75,312960.19,317137.16,314978.42,313083.79,311451.22,315628.2,313469.46
32,Maschi,333361.69,333738.2,334146.5,334578.25,339255.4,339631.92,340040.21,340471.97,345149.12,345525.64
