Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,Femmine,179771.89,173109.29,166996.9,161430.26,158001.85,151339.26,145226.87,139660.22,136231.82,129569.22,123456.83,117890.18,114461.78,107799.18,101686.79,96120.15
0,Maschi,190098.43,184044.79,177872.31,171576.13,167704.79,161651.14,155478.66,149182.49,145311.14,139257.49,133085.01,126788.84,122917.49,116863.84,110691.36,104395.19
1,Femmine,182328.33,176576.24,170261.53,163390.89,156874.86,151122.76,144808.05,137937.41,131421.38,125669.28,119354.58,112483.93,105967.9,100215.81,93901.1,87030.46
1,Maschi,192801.16,186716.13,180327.73,173643.0,166172.09,160087.06,153698.65,147013.93,139543.01,133457.98,127069.57,120384.85,112913.93,106828.9,100440.5,93755.77
2,Femmine,188223.89,181971.2,175173.34,167822.82,161160.48,154907.79,148109.94,140759.42,134097.07,127844.38,121046.53,113696.01,107033.66,100780.97,93983.12,86632.6
2,Maschi,198392.16,191639.35,184489.6,176932.32,169513.3,162760.48,155610.73,148053.46,140634.43,133881.61,126731.86,119174.59,111755.56,105002.75,97853.0,90295.72
3,Femmine,194865.3,188122.58,181916.63,176249.21,167865.78,161123.07,154917.11,149249.69,140866.26,134123.55,127917.59,122250.17,113866.74,107124.03,100918.07,95250.65
3,Maschi,205979.58,198509.89,191820.76,185917.23,177159.65,169689.97,163000.83,157097.3,148339.72,140870.04,134180.9,128277.37,119519.8,112050.11,105360.97,99457.45
4,Femmine,208326.62,199314.2,192258.13,187143.01,183756.44,174744.02,167687.95,162572.83,159186.26,150173.85,143117.77,138002.65,134616.08,125603.67,118547.59,113432.47
4,Maschi,219647.5,210690.12,203181.92,197110.75,193453.54,184496.16,176987.96,170916.79,167259.58,158302.21,150794.0,144722.83,141065.62,132108.25,124600.04,118528.87
5,Femmine,215618.75,209351.27,202744.42,195820.25,192267.71,186000.22,179393.37,172469.2,168916.66,162649.18,156042.33,149118.16,145565.61,139298.13,132691.28,125767.11
5,Maschi,227893.91,221322.11,214532.85,207545.24,203200.42,196628.62,189839.36,182851.75,178506.93,171935.13,165145.87,158158.26,153813.44,147241.64,140452.38,133464.77
6,Femmine,221417.66,217929.81,212348.85,204653.67,199588.82,196100.98,190520.02,182824.83,177759.99,174272.14,168691.19,160996.0,155931.16,152443.31,146862.35,139167.17
