Key|Value|ger2|ger1
Name (Base name; Treatment, standards, routes; Mix and location types; Quantitative product or process properties)|Packaged hamburger bun, bread production, sector company|Key data set information|PROCESS INFORMATION
Synonyms|Produzione di panini per hamburger confezionati, aziende del settore|Key data set information|PROCESS INFORMATION
Class name_1|2 Materials production|Key data set information|PROCESS INFORMATION
Class name_2|2.11 Food and renewable raw materials|Key data set information|PROCESS INFORMATION
Type of quantitative reference|Reference flow(s)|Quantitative reference|PROCESS INFORMATION
Reference flow(s):|3,263,950.63 kg|Quantitative reference|PROCESS INFORMATION
Reference year|2022|Time representativeness|PROCESS INFORMATION
Data set valid until|2029|Time representativeness|PROCESS INFORMATION
Time representativeness description|The data associated with the plant's production in the year 2022.|Time representativeness|PROCESS INFORMATION
Location|IT|Geographical representativeness|PROCESS INFORMATION
Geographical representativeness description|The data relate to the production of packaged hamburger bread, made from common wheat flour, of a medium-sized company in Southern Italy. Finished products are sold throughout the country and are also produced for other nationally important brands.|Geographical representativeness|PROCESS INFORMATION
Technology description including background system|The reference technology for energy consumption considers both renewable and non-renewable primary resources installed in plants. Data is provided in aggregate form for the reference year. Furthermore, the total consumption of the entire plant in the reference year was approximately 1,450,000 kWh. The installation of solar panels saved 11.59% energy from the grid ( about 190,000 kWh to be added to the consumption of electricity from the grid).|Technological representativeness|PROCESS INFORMATION
Technical purpose of product or process|LCA|Technological representativeness|PROCESS INFORMATION
Type of dataset|Unit process, single operation|LCI method and allocation|MODELLING AND VALIDATION
LCI method principle|Attributional|LCI method and allocation|MODELLING AND VALIDATION
LCI method approaches|Not applicable|LCI method and allocation|MODELLING AND VALIDATION
Deviations from LCI method approaches/explanations|The bread production system does not generate co-products.|LCI method and allocation|MODELLING AND VALIDATION
Date cut-off and completeness principles|Production of equipment and infrastructures is not included except for the background system.|Data sources treatment and representativeness|MODELLING AND VALIDATION
