frase_x,frase_y,similarity,keywords_x,keywords_y,miglior_coppia,similarità:
Frase 1,Frase 2,0.23195027228858736,"['early', 'treatment', 'discusses']","['well-being', 'emphasizes', 'significance']","('early', 'significance')","[0.3452967703342438, 0.22917486727237701, 0.38184064626693726, 0.3502786457538605, 0.06262385100126266, 0.22762514650821686, 0.31857040524482727, -0.010145127773284912, 0.18228724598884583]"
Frase 1,Frase 3,0.1843914199206564,"['early', 'treatment', 'discusses']","['environment', 'electric', 'vehicles']","('early', 'electric')","[0.2764285206794739, 0.3051215708255768, 0.2020188271999359, 0.1961100846529007, 0.22565560042858124, 0.127640038728714, 0.13450266420841217, 0.16463670134544373, 0.027408771216869354]"
Frase 1,Frase 4,0.3594206753704283,"['early', 'treatment', 'discusses']","['explains', 'role', 'reactions']","('discusses', 'explains')","[0.33451634645462036, 0.4508132338523865, 0.4232812225818634, 0.24144509434700012, 0.32635459303855896, 0.4060767590999603, 0.4997158646583557, 0.30974292755126953, 0.24284003674983978]"
Frase 1,Frase 5,0.27983403702576953,"['early', 'treatment', 'discusses']","['future', 'highlights', 'importance']","('discusses', 'highlights')","[0.3807833790779114, 0.17301589250564575, 0.44902002811431885, 0.17691287398338318, 0.11392761766910553, 0.30684417486190796, 0.21898746490478516, 0.47380003333091736, 0.2252148687839508]"
Frase 1,Frase 6,0.2497347527080112,"['early', 'treatment', 'discusses']","['growth', 'sales', 'customer']","('early', 'growth')","[0.47809767723083496, 0.347601056098938, 0.32591405510902405, 0.2174065262079239, 0.11889180541038513, 0.2622406482696533, 0.1942168027162552, 0.18646210432052612, 0.11678209900856018]"
Frase 2,Frase 3,0.2283386124504937,"['well-being', 'emphasizes', 'significance']","['environment', 'electric', 'vehicles']","('well-being', 'electric')","[0.28216949105262756, 0.46965962648391724, 0.14237017929553986, 0.16649974882602692, 0.24111983180046082, 0.09380795061588287, 0.27245596051216125, 0.2565256357192993, 0.13043908774852753]"
Frase 2,Frase 4,0.30271221697330475,"['well-being', 'emphasizes', 'significance']","['explains', 'role', 'reactions']","('significance', 'explains')","[0.29823413491249084, 0.3400570750236511, 0.3015168011188507, 0.09961983561515808, 0.383767306804657, 0.17364384233951569, 0.45443832874298096, 0.3353874385356903, 0.33774518966674805]"
Frase 2,Frase 5,0.2412254446082645,"['well-being', 'emphasizes', 'significance']","['future', 'highlights', 'importance']","('significance', 'importance')","[0.2856654226779938, 0.2021700143814087, 0.2202891856431961, 0.21814338862895966, 0.12149816751480103, 0.305462121963501, 0.26880884170532227, 0.11614978313446045, 0.43284207582473755]"
Frase 2,Frase 6,0.26806318428781295,"['well-being', 'emphasizes', 'significance']","['growth', 'sales', 'customer']","('significance', 'growth')","[0.28185123205184937, 0.2737177312374115, 0.21134400367736816, 0.3244779706001282, 0.1322883516550064, 0.30747294425964355, 0.4247656464576721, 0.19582988321781158, 0.2608208954334259]"
Frase 3,Frase 4,0.2300000993741883,"['environment', 'electric', 'vehicles']","['explains', 'role', 'reactions']","('electric', 'role')","[0.24018506705760956, 0.3172130584716797, 0.2569694221019745, 0.26739734411239624, 0.3951939046382904, 0.20870137214660645, 0.08897814899682999, 0.14977599680423737, 0.14558658003807068]"
Frase 3,Frase 5,0.21298939523856258,"['environment', 'electric', 'vehicles']","['future', 'highlights', 'importance']","('electric', 'importance')","[0.3916390836238861, 0.08643512427806854, 0.42632174491882324, 0.32362425327301025, 0.02266503870487213, 0.4548109471797943, 0.06022817641496658, 0.001027922728098929, 0.1501522660255432]"
Frase 3,Frase 6,0.27437224570247865,"['environment', 'electric', 'vehicles']","['growth', 'sales', 'customer']","('electric', 'growth')","[0.34089475870132446, 0.34161654114723206, 0.23305746912956238, 0.3760080337524414, 0.32801365852355957, 0.334798127412796, 0.28461113572120667, 0.18333753943443298, 0.047012947499752045]"
Frase 4,Frase 5,0.33416980670558083,"['explains', 'role', 'reactions']","['future', 'highlights', 'importance']","('explains', 'highlights')","[0.32970815896987915, 0.4637097120285034, 0.3124208152294159, 0.41431528329849243, 0.2180492877960205, 0.4513357877731323, 0.16969545185565948, 0.28657758235931396, 0.3617161810398102]"
Frase 4,Frase 6,0.2631079951922099,"['explains', 'role', 'reactions']","['growth', 'sales', 'customer']","('role', 'growth')","[0.23119021952152252, 0.1463991403579712, 0.2581433653831482, 0.4911830723285675, 0.2791142165660858, 0.3375955820083618, 0.2797778248786926, 0.14734980463981628, 0.19721873104572296]"
Frase 5,Frase 6,0.33303649806314045,"['future', 'highlights', 'importance']","['growth', 'sales', 'customer']","('future', 'growth')","[0.5064468383789062, 0.47384169697761536, 0.3878706097602844, 0.1476564258337021, 0.12865635752677917, 0.10463950783014297, 0.4443536400794983, 0.32096144556999207, 0.4829019606113434]"
