"Popolazione residente per età, sesso e stato civile al 1° gennaio 2024"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"13";"Abruzzo";0;3950;0;0;0;0;0;0;3950;3631;0;0;0;0;0;0;3631;7581
"13";"Abruzzo";1;4193;0;0;0;0;0;0;4193;3870;0;0;0;0;0;0;3870;8063
"13";"Abruzzo";2;4256;0;0;0;0;0;0;4256;4135;0;0;0;0;0;0;4135;8391
"13";"Abruzzo";3;4412;0;0;0;0;0;0;4412;4135;0;0;0;0;0;0;4135;8547
"13";"Abruzzo";4;4479;0;0;0;0;0;0;4479;4283;0;0;0;0;0;0;4283;8762
"13";"Abruzzo";5;4656;0;0;0;0;0;0;4656;4460;0;0;0;0;0;0;4460;9116
"13";"Abruzzo";6;5026;0;0;0;0;0;0;5026;4711;0;0;0;0;0;0;4711;9737
"13";"Abruzzo";7;5263;0;0;0;0;0;0;5263;4935;0;0;0;0;0;0;4935;10198
"13";"Abruzzo";8;5367;0;0;0;0;0;0;5367;5022;0;0;0;0;0;0;5022;10389
"13";"Abruzzo";9;5430;0;0;0;0;0;0;5430;5142;0;0;0;0;0;0;5142;10572
"13";"Abruzzo";10;5479;0;0;0;0;0;0;5479;5199;0;0;0;0;0;0;5199;10678
"13";"Abruzzo";11;5761;0;0;0;0;0;0;5761;5521;0;0;0;0;0;0;5521;11282
"13";"Abruzzo";12;5945;0;0;0;0;0;0;5945;5446;0;0;0;0;0;0;5446;11391
"13";"Abruzzo";13;5991;0;0;0;0;0;0;5991;5689;0;0;0;0;0;0;5689;11680
"13";"Abruzzo";14;5962;0;0;0;0;0;0;5962;5547;0;0;0;0;0;0;5547;11509
"13";"Abruzzo";15;6135;0;0;0;0;0;0;6135;5783;0;0;0;0;0;0;5783;11918
"13";"Abruzzo";16;6014;0;0;0;0;0;0;6014;5727;1;0;0;0;0;0;5728;11742
"13";"Abruzzo";17;6048;1;0;0;0;0;0;6049;5594;0;0;0;0;0;0;5594;11643
